ID	ASSENT	ANXIETY	EMOTICONS	POSITIVE EMOTION	AFFECTIVE PROCESSES	ANGER	NEGATIVE EMOTION	SADNESS	
4991	0.0000	0.0000	0.0000	1.7143	4.5714	0.0000	2.8571	0.0000	
10631	0.0000	0.0000	0.0000	8.6957	10.1449	0.0000	1.4493	0.0000	
11001	0.0000	0.0000	0.0000	3.0769	3.0769	0.0000	0.0000	0.0000	
11011	0.0000	0.0000	0.4808	1.9231	1.9231	0.0000	0.0000	0.0000	
12021	0.0000	0.0000	0.0000	9.0909	9.0909	0.0000	0.0000	0.0000	
16061	0.0000	0.0000	0.0000	1.0000	5.0000	0.0000	4.0000	0.0000	
20851	1.2821	0.0000	0.0000	1.2821	1.2821	0.0000	0.0000	0.0000	
20861	0.9804	0.0000	0.0000	7.8431	7.8431	0.0000	0.0000	0.0000	
7790	0.0000	0.0000	0.0000	1.8519	1.8519	0.0000	0.0000	0.0000	
1171	0.0000	0.0000	0.0000	6.2500	6.2500	0.0000	0.0000	0.0000	
1291	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
570	5.0000	0.0000	0.0000	10.0000	10.0000	0.0000	0.0000	0.0000	
1401	0.0000	0.0000	0.0000	2.4691	4.9383	1.2346	2.4691	0.0000	
300	0.0000	0.0000	0.0000	2.1277	2.1277	0.0000	0.0000	0.0000	
370	0.7353	0.0000	0.0000	5.1471	5.8824	0.0000	0.7353	0.0000	
390	0.0000	0.0000	0.0000	3.0675	3.6810	0.0000	0.6135	0.0000	
400	0.0000	0.0000	0.0000	2.0000	2.0000	0.0000	0.0000	0.0000	
5930	1.7241	0.0000	0.0000	3.4483	3.4483	0.0000	0.0000	0.0000	
6340	0.0000	0.0000	0.0000	3.5714	3.5714	0.0000	0.0000	0.0000	
6840	0.0000	0.0000	0.0000	4.3478	4.3478	0.0000	0.0000	0.0000	
1581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1621	0.7576	0.0000	0.0000	2.2727	2.2727	0.0000	0.0000	0.0000	
350	0.0000	0.0000	0.0000	7.1429	7.1429	0.0000	0.0000	0.0000	
470	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
730	0.6494	0.0000	0.0000	0.6494	1.2987	0.0000	0.6494	0.0000	
1761	0.0000	0.0000	0.0000	1.4493	1.4493	0.0000	0.0000	0.0000	
2081	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2211	1.7857	0.0000	0.0000	8.9286	8.9286	0.0000	0.0000	0.0000	
2651	2.0833	0.0000	0.0000	6.2500	6.2500	0.0000	0.0000	0.0000	
2911	0.0000	0.0000	0.0000	6.6667	6.6667	0.0000	0.0000	0.0000	
3161	0.0000	0.0000	0.0000	8.3333	8.3333	0.0000	0.0000	0.0000	
3241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6880	0.0000	0.0000	0.0000	11.1111	11.1111	0.0000	0.0000	0.0000	
3341	0.0000	0.0000	0.0000	6.1404	7.8947	0.8772	1.7544	0.8772	
790	0.0000	0.0000	0.0000	6.3291	6.3291	0.0000	0.0000	0.0000	
1050	3.2258	0.0000	0.0000	6.4516	6.4516	0.0000	0.0000	0.0000	
3401	0.0000	0.0000	0.0000	0.0000	5.5556	5.5556	5.5556	0.0000	
10781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17151	0.0000	0.0000	0.0000	6.7797	6.7797	0.0000	0.0000	0.0000	
17381	2.3810	0.0000	0.0000	2.3810	2.3810	0.0000	0.0000	0.0000	
7721	0.0000	0.0000	0.0000	0.0000	3.0612	0.0000	3.0612	1.0204	
7911	0.0000	0.0000	0.0000	4.7619	4.7619	0.0000	0.0000	0.0000	
7941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
7961	2.9412	0.0000	0.0000	2.9412	5.8824	0.0000	2.9412	0.0000	
2750	0.0000	0.0000	0.0000	2.0833	6.2500	0.0000	3.1250	0.0000	
8041	0.0000	0.0000	1.0989	1.0989	2.1978	1.0989	1.0989	0.0000	
2510	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2520	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2590	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2610	0.0000	0.0000	0.0000	25.0000	50.0000	0.0000	25.0000	0.0000	
2720	0.0000	0.0000	0.0000	1.3699	1.3699	0.0000	0.0000	0.0000	
2730	0.0000	1.3514	0.0000	0.0000	4.0541	0.0000	4.0541	1.3514	
2870	1.5385	0.0000	0.0000	1.5385	3.0769	1.5385	1.5385	0.0000	
2880	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8071	0.0000	0.0000	0.0000	1.3158	3.9474	1.3158	2.6316	0.0000	
2640	0.0000	0.0000	0.0000	0.0000	6.8182	2.2727	6.8182	0.0000	
8161	1.3699	0.0000	0.0000	2.7397	4.1096	1.3699	1.3699	0.0000	
2550	0.0000	1.0753	0.0000	1.0753	6.4516	0.0000	5.3763	0.0000	
8191	0.0000	0.0000	0.0000	6.4516	6.4516	0.0000	0.0000	0.0000	
2580	0.0000	0.0000	0.0000	7.4074	11.1111	0.0000	3.7037	0.0000	
8371	0.0000	0.0000	0.0000	4.3478	5.4348	0.0000	1.0870	0.0000	
3020	0.0000	0.0000	0.0000	4.1667	4.1667	0.0000	0.0000	0.0000	
3040	4.0000	0.0000	0.0000	8.0000	8.0000	0.0000	0.0000	0.0000	
3820	3.1250	0.0000	0.0000	3.1250	3.1250	0.0000	0.0000	0.0000	
8511	0.0000	0.0000	0.0000	0.0000	1.7699	1.7699	1.7699	0.0000	
3050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8531	0.8547	0.8547	0.0000	0.8547	1.7094	0.0000	0.8547	0.0000	
3060	1.5152	0.0000	0.0000	6.0606	6.0606	0.0000	0.0000	0.0000	
3850	0.8197	0.0000	0.0000	2.4590	2.4590	0.0000	0.0000	0.0000	
3870	11.1111	0.0000	0.0000	22.2222	22.2222	0.0000	0.0000	0.0000	
3880	0.0000	0.0000	0.0000	4.8951	5.5944	0.0000	0.6993	0.0000	
8591	0.0000	0.0000	0.0000	3.7037	3.7037	0.0000	0.0000	0.0000	
8621	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3070	0.0000	0.0000	0.0000	6.0606	6.0606	0.0000	0.0000	0.0000	
3140	2.0619	0.0000	0.0000	3.0928	3.0928	0.0000	0.0000	0.0000	
8631	0.0000	1.6807	0.0000	3.3613	7.5630	2.5210	4.2017	0.0000	
2780	1.4706	0.0000	0.0000	2.9412	2.9412	0.0000	0.0000	0.0000	
2900	0.0000	0.0000	0.0000	15.3846	15.3846	0.0000	0.0000	0.0000	
8671	0.0000	0.0000	0.0000	1.4085	2.8169	0.0000	1.4085	0.0000	
2950	2.8571	0.0000	0.0000	5.7143	8.5714	2.8571	2.8571	0.0000	
8711	0.0000	0.0000	0.0000	6.6667	6.6667	0.0000	0.0000	0.0000	
8891	0.0000	0.0000	0.0000	4.8780	4.8780	0.0000	0.0000	0.0000	
3240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3250	0.0000	0.0000	0.0000	0.0000	9.0909	0.0000	9.0909	9.0909	
3270	0.0000	2.5641	0.0000	0.0000	5.1282	0.0000	5.1282	0.0000	
3460	0.0000	0.0000	0.0000	20.0000	20.0000	0.0000	0.0000	0.0000	
3860	0.0000	0.0000	0.0000	10.0000	10.0000	0.0000	0.0000	0.0000	
9011	0.0000	0.0000	0.0000	13.3333	13.3333	0.0000	0.0000	0.0000	
9161	0.0000	0.0000	33.3333	33.3333	33.3333	0.0000	0.0000	0.0000	
9191	0.0000	0.0000	0.0000	1.8868	3.7736	0.0000	1.8868	0.0000	
3010	2.5000	0.0000	0.0000	5.0000	5.0000	0.0000	0.0000	0.0000	
3030	2.9412	0.0000	0.0000	2.9412	8.8235	0.0000	0.0000	0.0000	
9221	0.0000	2.5641	0.0000	0.0000	7.6923	0.0000	7.6923	0.0000	
9241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
9261	0.0000	0.0000	0.0000	1.7544	4.3860	1.7544	2.6316	0.0000	
9521	0.0000	0.8264	0.0000	0.0000	1.6529	0.0000	1.6529	0.0000	
3230	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3280	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3300	0.0000	0.0000	0.0000	4.0000	4.0000	0.0000	0.0000	0.0000	
3320	0.0000	0.0000	0.0000	4.7619	9.5238	0.0000	4.7619	0.0000	
9891	0.0000	0.0000	0.0000	3.5088	7.0175	3.5088	3.5088	0.0000	
3560	0.0000	0.0000	0.0000	6.2500	6.2500	0.0000	0.0000	0.0000	
10011	0.0000	0.0000	0.0000	3.3333	3.3333	0.0000	0.0000	0.0000	
10151	0.0000	0.0000	0.0000	1.2500	3.7500	0.0000	2.5000	0.0000	
10371	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
13441	0.0000	0.0000	1.5625	0.0000	3.1250	0.0000	3.1250	0.0000	
13501	7.1429	0.0000	0.0000	3.5714	7.1429	0.0000	3.5714	0.0000	
5430	0.0000	0.0000	0.0000	0.0000	1.2500	0.0000	1.2500	1.2500	
6310	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6350	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
13751	0.0000	0.0000	0.0000	0.0000	3.0303	0.0000	3.0303	0.0000	
5980	3.0303	0.0000	0.0000	3.0303	3.0303	0.0000	0.0000	0.0000	
14311	0.0000	0.0000	0.0000	0.0000	2.9412	0.0000	2.9412	0.0000	
18271	0.0000	0.0000	0.0000	3.2258	3.2258	0.0000	0.0000	0.0000	
4971	0.0000	1.5873	0.5291	4.2328	6.3492	0.0000	2.1164	0.0000	
5271	0.0000	0.0000	0.0000	3.5088	3.5088	0.0000	0.0000	0.0000	
5301	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6691	0.0000	0.0000	0.0000	3.5714	3.5714	0.0000	0.0000	0.0000	
2020	11.1111	0.0000	0.0000	22.2222	22.2222	0.0000	0.0000	0.0000	
6791	2.2727	0.0000	0.0000	2.2727	2.2727	0.0000	0.0000	0.0000	
10601	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
10721	0.0000	0.0000	0.0000	1.7241	1.7241	0.0000	0.0000	0.0000	
10751	0.0000	0.0000	0.0000	13.6364	13.6364	0.0000	0.0000	0.0000	
12741	0.7463	0.0000	0.0000	0.0000	0.7463	0.0000	0.7463	0.0000	
12861	0.0000	0.0000	0.0000	1.5385	1.5385	0.0000	0.0000	0.0000	
16051	0.0000	0.0000	0.0000	2.1390	5.8824	0.5348	3.7433	0.0000	
17021	6.6667	0.0000	0.0000	10.0000	13.3333	0.0000	3.3333	0.0000	
17051	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17071	0.0000	0.0000	0.0000	2.7778	2.7778	0.0000	0.0000	0.0000	
6860	0.0000	0.0000	0.0000	1.6949	1.6949	0.0000	0.0000	0.0000	
7170	0.0000	0.0000	0.0000	5.7692	11.5385	0.0000	5.7692	5.7692	
20621	1.1494	0.0000	0.0000	6.8966	6.8966	0.0000	0.0000	0.0000	
20761	0.0000	0.0000	0.0000	2.7027	2.7027	0.0000	0.0000	0.0000	
7740	1.1561	0.0000	0.0000	6.9364	6.9364	0.0000	0.0000	0.0000	
20871	0.0000	0.0000	0.0000	6.9767	6.9767	0.0000	0.0000	0.0000	
7750	0.0000	0.0000	0.9174	5.5046	5.5046	0.0000	0.0000	0.0000	
20941	0.0000	0.0000	0.0000	5.5556	5.5556	0.0000	0.0000	0.0000	
7760	0.0000	0.0000	0.0000	32.0000	32.0000	0.0000	0.0000	0.0000	
20951	0.0000	0.0000	0.0000	4.8951	4.8951	0.0000	0.0000	0.0000	
20961	0.0000	0.0000	0.0000	17.3913	17.3913	0.0000	0.0000	0.0000	
21251	0.0000	0.0000	0.0000	11.1111	11.1111	0.0000	0.0000	0.0000	
21261	0.0000	0.0000	0.0000	8.6957	8.6957	0.0000	0.0000	0.0000	
21281	4.0000	0.0000	0.0000	24.0000	24.0000	0.0000	0.0000	0.0000	
21421	0.0000	0.0000	0.0000	7.5472	7.5472	0.0000	0.0000	0.0000	
21461	0.0000	0.0000	0.0000	8.3333	8.3333	0.0000	0.0000	0.0000	
22111	0.0000	0.0000	0.0000	10.0000	10.0000	0.0000	0.0000	0.0000	
