,ID,COM,COMO,CON,CURSO,DEL,EST,GRACIA,GREI,MUCHA,PARA,PERO,POR,QUE,REPUT,STAT,THANK_x,THAT_x,THE_x,TODO,YOU,ACCEPT,ANONYM,CHALLENG,CODE,CONSIDER,DATE,DISAGRE,DISAPPOINT,EXERCIS,EXPRESS,FRUSTRAT,GET,HATE,LESS,NECESSARILI,NOT_x,PERHAP,SIMPLI,TURN,WHITE,AGRE,AMAZ,CAN_x,CATHI,GREAT,HREF_x,HTTP_x,MUCH,NAME,NOT_y,ORG_x,PAGE,POMERANTZ,PROBLEM_x,QUESTION_x,TARGET_x,THANK_y,THE_y,TITL,WHICH,001,APOLOG,APPAR,BEEN,CAUS,CREDIT,ENCOUNT,FIX,HOMEWORK_x,INSTEAD,ISSU_x,NOW,PLAYER,REMOV,RESOLV,SCORE,SINCER,SORRI,SUBMIT,UPDAT,ADDIT,BROWSER,CHROME,DETAIL,ERROR,FACTUAL,FIREFOX,HOMEWORK_y,ISSU_y,MESSAG,MISTAK,OMIT,PROBLEM_y,QUESTION_y,QUIZ,STRONG,SUBMISS,TYPE,TYPO,WINDOW,CONTENT,DEFIN,DEPEND,DESCRIB,ELEMENT,EXAMPL,FORMAT,HREF_y,HTTP_y,MEAN,META,NOT,OBJECT,ORG_y,SCHEME,TAG,TARGET_y,THANK,THAT_y,VOCABULARI,ANI,ANYBODI,ANYON,CAN_y,DOE,EMAIL,HOW,KNOW,NOTE,ONTOLOG,QUESTION,RECIP,REGARD,TAKE,THOUGHT,WHAT,WHERE,WHY,WONDER,WOULD,ASSENT,ANXIETY,EMOTICONS,POSITIVE EMOTION,AFFECTIVE PROCESSES,ANGER,NEGATIVE EMOTION,SADNESS,INSTRUCTOR,INSIGHT,INCLUSION,CAUSATION,INHIBITION,DISCREPANCY,TENTATIVENESS,COGNITIVE PROCESSES,EXCLUSION,CERTAINTY,FIRST,PREV,AVG,MIN,MAX,STDEV,RELIGION,LEISURE,ACHIEVEMENT,HOME,WORK,MONEY,DEATH,DAYS,HOURS,MINUTES,TOTAL PRON,AUXILIARY VERBS,1ST SINGULAR,3RD PLURAL,UNIQUE,NUMBERS,PREPOSITIONS,TOTAL 2ND,CONJUNCTIONS,ARTICLES,SWEAR WORDS,ABBREVIATIONS,1ST PLURAL,FUNCTION WORDS,3RD SINGULAR,SIXLTR,FUTURE TENSE,PERSONAL PRON,QUANTIFIERS,WPS,PRESENT TENSE,NEGATIONS,IMPERSONAL PRON,ADVERBS,PAST TENSE,COMMON VERBS,LINKS,ABSOLUTE_MOD,RELATIVE_MOD,PERCEPTUAL PROCESSES,SEEING,HEARING,FEELING,ABSOLUTE_POSIT,RELATIVE_POSIT,POST,QMARKS,PERIOD,APOSTRO,COLON,QUOTE,QMARK,SEMIC,COMMA,EXCLAM,PARENTH,ALLPCT,DASH,OTHERP,ABSOLUTE_POS,RELATIVE_POS,ABSOLUTE_NEG,RELATIVE_NEG,FAMILY,SOCIAL PROCESSES,FRIENDS,HUMANS,DIC,FILLERS,VOTES
0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.7619,9.5238,0.0,4.7619,0.0,1,0.0,4.7619,0.0,0.0,9.5238,4.7619,14.2857,4.7619,0.0,0.0402,0.1068,0.0735,0.0402,0.1068,0.0471,0.0,0.0,4.7619,0.0,4.7619,0.0,0.0,10.0,224.0,13407.0,9.5238,19.0476,0.0,0.0,95.2381,0.0,4.7619,9.5238,9.5238,9.5238,0.0,0.0,0.0,57.1429,0.0,19.0476,4.7619,9.5238,0.0,10.5,9.5238,0.0,0.0,4.7619,0.0,19.0476,0,3.0,0.1071,0.0,0.0,0.0,0.0,3.0,0.0789,0,0.0,38.0952,9.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.619,0.0,0.0,1.0,0.0096,1.0,0.0096,0.0,14.2857,0.0,0.0,71.4286,0.0,15
1,3080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.7037,0.0,0.0,11.1111,3.7037,18.5185,3.7037,0.0,0.0495,0.0331,0.0399,0.0052,0.0718,0.028,0.0,0.0,3.7037,0.0,0.0,0.0,0.0,7.0,145.0,8684.0,11.1111,7.4074,7.4074,0.0,74.0741,0.0,18.5185,0.0,3.7037,14.8148,0.0,0.0,0.0,59.2593,0.0,3.7037,7.4074,7.4074,7.4074,13.5,14.8148,0.0,3.7037,0.0,3.7037,25.9259,0,2.0,0.0714,7.4074,7.4074,0.0,0.0,5.0,0.5556,0,0.0,7.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4074,0.0,0.0,1.0,0.02,1.0,0.02,0.0,0.0,0.0,0.0,85.1852,0.0,0
2,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5873,0.5291,4.2328,6.3492,0.0,2.1164,0.0,0,6.8783,6.3492,3.7037,0.5291,2.1164,2.1164,24.8677,2.6455,1.5873,0.0,0.0,0.0,0.0,0.0,0.0,0.5291,1.0582,2.1164,0.0,5.8201,0.0,0.0,7.0,149.0,8928.0,12.6984,8.4656,3.1746,0.5291,64.5503,2.1164,12.6984,0.0,10.0529,6.8783,0.0,0.0,1.0582,56.0847,1.0582,24.8677,0.5291,5.8201,3.1746,27.0,9.5238,0.5291,6.8783,5.291,3.7037,15.873,0,3.0,0.0133,1.5873,0.5291,1.0582,0.0,1.0,0.1667,1,0.0,2.6455,5.291,0.5291,0.0,0.0,0.0,2.6455,1.0582,1.5873,24.3386,2.6455,7.9365,9.0,0.0398,9.0,0.0398,0.0,6.3492,0.0,0.0,88.8889,0.0,0
3,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0018,0.2133,0.0966,0.0011,0.2133,0.1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,200.0,11980.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0424,5.0,0.0424,0.0,25.0,0.0,0.0,50.0,0.0,0
4,3521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0753,0.0,0.0,3.2258,3.2258,0.0,0.0,0.0,0,1.0753,8.6022,0.0,0.0,2.1505,2.1505,20.4301,2.1505,1.0753,0.2798,0.2404,0.1969,0.0767,0.2798,0.0762,0.0,0.0,5.3763,0.0,7.5269,0.0,0.0,8.0,180.0,10782.0,11.828,3.2258,6.4516,0.0,74.1935,0.0,10.7527,0.0,6.4516,10.7527,0.0,1.0753,2.1505,47.3118,0.0,27.957,0.0,8.6022,5.3763,11.625,5.3763,1.0753,3.2258,3.2258,0.0,5.3763,0,0.0,0.0,1.0753,1.0753,0.0,0.0,6.0,0.3158,1,0.0,9.6774,0.0,1.0753,2.1505,0.0,0.0,5.3763,0.0,0.0,19.3548,0.0,1.0753,4.0,0.0367,4.0,0.0367,0.0,4.3011,0.0,0.0,77.4194,0.0,0
5,630,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1111,0.0,0.0,11.1111,11.1111,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0002,0.0015,0.0,0.0083,0.0033,0.0,0.0,0.0,0.0,22.2222,0.0,0.0,8.0,189.0,11319.0,0.0,0.0,0.0,0.0,77.7778,0.0,22.2222,0.0,22.2222,0.0,0.0,0.0,0.0,33.3333,0.0,22.2222,0.0,0.0,0.0,9.0,0.0,0.0,0.0,11.1111,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.6364,0,0.0,33.3333,0.0,11.1111,0.0,0.0,0.0,0.0,0.0,0.0,77.7778,0.0,33.3333,5.0,0.0521,5.0,0.0521,0.0,0.0,0.0,0.0,55.5556,0.0,0
6,2071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,1,0.0,18.75,0.0,0.0,6.25,6.25,25.0,0.0,0.0,0.0079,0.0079,0.0079,0.0079,0.0079,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,9.0,196.0,11733.0,25.0,12.5,0.0,0.0,93.75,0.0,18.75,0.0,6.25,0.0,0.0,0.0,6.25,68.75,0.0,12.5,0.0,6.25,0.0,8.0,25.0,0.0,18.75,6.25,0.0,25.0,0,0.0,0.0,6.25,6.25,0.0,0.0,2.0,0.3333,1,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,93.75,0.0,1
7,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8182,1.8182,0.0,0.0,0.0,0,7.2727,0.0,3.6364,0.0,1.8182,3.6364,18.1818,1.8182,0.0,0.0561,0.2445,0.0392,0.0053,0.2445,0.0505,0.0,0.0,1.8182,0.0,10.9091,0.0,0.0,8.0,171.0,10249.0,16.3636,7.2727,7.2727,0.0,78.1818,0.0,12.7273,5.4545,7.2727,5.4545,0.0,0.0,0.0,54.5455,0.0,27.2727,1.8182,12.7273,3.6364,18.3333,14.5455,0.0,3.6364,7.2727,0.0,16.3636,0,1.0,0.0164,1.8182,0.0,0.0,1.8182,22.0,0.1467,0,33.3333,3.6364,0.0,0.0,0.0,1.8182,0.0,5.4545,1.8182,0.0,16.3636,0.0,3.6364,2.0,0.0187,2.0,0.0187,0.0,5.4545,0.0,0.0,78.1818,0.0,0
8,621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8986,0.0,0.0,1.4493,1.4493,0.0,0.0,0.0,1,4.3478,1.4493,1.4493,0.0,2.8986,4.3478,20.2899,4.3478,2.8986,0.0715,0.086,0.1453,0.0715,0.2258,0.0779,0.0,1.4493,0.0,0.0,2.8986,0.0,0.0,10.0,221.0,13214.0,21.7391,8.6957,2.8986,0.0,71.0145,0.0,8.6957,1.4493,2.8986,7.2464,0.0,0.0,1.4493,60.8696,0.0,17.3913,0.0,5.7971,5.7971,11.5,1.4493,0.0,15.942,7.2464,5.7971,13.0435,0,2.0,0.0217,1.4493,0.0,1.4493,0.0,5.0,0.4167,1,0.0,11.5942,1.4493,0.0,0.0,0.0,0.0,11.5942,0.0,0.0,31.8841,5.7971,1.4493,3.0,0.0326,3.0,0.0326,0.0,4.3478,0.0,0.0,78.2609,0.0,3
9,21541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1429,7.1429,0.0,0.0,0.0,0,0.0,7.1429,7.1429,0.0,0.0,0.0,14.2857,0.0,0.0,0.0652,0.0375,0.0618,0.0011,0.2111,0.0316,0.0,0.0,3.5714,0.0,7.1429,0.0,0.0,5.0,98.0,5828.0,17.8571,10.7143,3.5714,0.0,92.8571,0.0,14.2857,7.1429,3.5714,10.7143,0.0,0.0,0.0,60.7143,0.0,7.1429,3.5714,10.7143,3.5714,14.0,7.1429,0.0,7.1429,0.0,7.1429,21.4286,0,1.0,0.0333,0.0,0.0,0.0,0.0,75.0,0.7653,1,0.0,3.5714,0.0,0.0,0.0,0.0,0.0,3.5714,3.5714,0.0,10.7143,0.0,0.0,2.0,0.0667,2.0,0.0667,0.0,7.1429,0.0,0.0,96.4286,0.0,0
