ID	INSTRUCTOR
4991	0
10631	0
11001	0
11011	0
12021	0
16061	0
20851	0
20861	0
7790	0
1171	0
1291	0
570	0
1401	0
300	0
370	0
390	0
400	0
5930	0
6340	0
6840	0
1581	0
1621	0
350	0
470	0
730	0
1761	0
2081	0
2211	0
2651	0
2911	0
3161	0
3241	0
6880	0
3341	1
790	1
1050	1
3401	0
10781	0
17151	0
17381	0
7721	0
7911	0
7941	0
7961	0
2750	0
8041	0
2510	0
2520	0
2590	0
2600	0
2610	0
2720	0
2730	1
2870	1
2880	1
8071	1
2640	1
8161	0
2550	0
8191	1
2580	1
8371	0
3020	0
3040	0
3820	0
8511	0
3050	0
8531	0
3060	0
3850	0
3870	0
3880	1
8591	0
8621	0
3070	0
3140	0
8631	0
2780	0
2900	1
8671	0
2950	0
8711	0
8891	1
3240	1
3250	1
3270	1
3460	1
3860	1
9011	0
9161	0
9191	0
3010	0
3030	0
9221	0
9241	0
9261	0
9521	0
3230	0
3280	1
3300	1
3320	1
9891	0
3560	0
10011	0
10151	0
10371	0
13441	0
13501	0
5430	0
6310	0
6350	0
13751	0
5980	0
14311	0
18271	0
4971	0
5271	0
5301	0
6691	0
2020	0
6791	0
10601	0
10721	0
10751	1
12741	0
12861	0
16051	0
17021	0
17051	0
17071	0
6860	0
7170	0
20621	0
20761	0
7740	0
20871	0
7750	0
20941	0
7760	0
20951	0
20961	0
21251	0
21261	0
21281	0
21421	0
21461	0
22111	0
1151	0
1181	0
200	0
210	0
1371	0
1381	0
280	0
520	0
1380	0
4451	0
4461	0
6431	0
7671	0
7691	0
8001	0
8241	1
2670	1
2700	1
8311	0
2680	0
2710	0
8321	0
2690	0
8471	0
8501	0
8661	1
2820	1
3160	1
8801	0
3090	1
3100	1
3150	1
3330	1
8811	0
8911	0
9111	0
9471	0
13401	0
13461	0
13701	0
13951	0
14951	0
6210	0
15001	0
15041	0
6250	0
15111	0
15421	0
18261	0
18331	0
4941	0
10561	0
10671	0
16021	0
16031	0
16041	0
16071	0
16091	0
16121	0
16181	0
16251	0
16311	0
16341	0
16441	0
16491	0
16501	0
16511	0
16541	0
16591	0
16831	0
20591	0
20681	0
7770	0
20801	0
20881	0
20891	0
21001	0
7800	0
1141	0
4531	0
7571	1
7651	0
2740	0
8421	0
8431	0
8441	0
10041	0
13381	0
13421	0
5400	0
18251	0
18341	0
18401	0
18411	0
4921	0
5041	1
1480	1
5131	0
5311	0
5341	1
6501	1
6551	0
10541	0
10551	0
10931	0
11021	0
4090	0
11501	1
11521	1
4110	1
4650	1
4720	1
11781	0
11961	0
12331	0
4730	1
12441	0
15931	0
18971	0
7940	0
19011	0
19111	0
19151	0
19181	0
7580	0
19191	0
19401	0
19441	0
19511	0
19571	0
19601	0
19611	0
19631	0
19641	0
19661	0
19691	0
19821	0
19851	0
19891	0
7510	0
19921	0
19941	0
7860	0
20061	0
20081	0
20121	0
20131	0
20151	0
20181	0
20191	0
20211	0
20221	0
20231	0
20251	0
20261	0
20281	0
20301	0
20311	0
20321	0
20331	0
20361	0
20371	0
20401	0
20461	0
20471	0
20651	0
20661	0
20671	0
20831	0
20911	0
21011	0
21021	0
21031	0
21131	0
21141	0
21151	0
21161	0
21171	0
21181	0
21191	0
21211	0
21271	0
21291	0
21301	0
21351	0
21361	0
21401	0
21411	0
21501	0
21511	0
21521	0
21541	0
21581	0
21591	0
21601	0
21621	0
21651	0
21671	0
21681	0
21831	0
21901	0
21941	0
21991	0
22001	0
22011	0
22021	0
22031	0
22061	0
22071	0
22081	0
22101	0
22121	0
22131	0
22141	0
7950	0
20561	0
20841	0
7780	0
7880	0
7890	0
20901	0
20921	0
20931	0
20971	0
20981	0
20991	0
21081	0
21381	1
21441	0
21451	0
21471	0
21481	0
21731	0
21911	0
21931	0
21951	0
21961	0
21971	0
21981	0
1091	0
1121	0
1191	0
310	0
1341	0
7441	0
7781	0
2930	0
3680	0
4200	0
4290	0
4660	0
4670	0
4700	0
8011	0
2490	0
2660	0
3540	0
3550	0
8141	0
4170	0
4190	0
8171	0
2570	0
2800	0
2840	0
8691	0
2790	0
8701	0
8881	0
9071	0
2970	0
2980	0
3000	0
9131	0
2990	0
9151	0
9181	0
9321	0
9421	0
9571	0
9591	0
9931	0
3570	0
4030	0
9971	0
10001	0
10261	0
10621	0
10731	0
11031	0
11081	0
11871	0
4260	0
4310	0
4540	0
4580	0
5820	0
12431	1
4790	1
15221	0
13161	0
18211	0
4771	0
4841	0
13131	0
10521	0
10711	1
4020	1
11051	0
15871	0
15881	0
20551	0
20601	0
1071	0
1111	0
1601	0
320	0
1661	0
380	0
7391	0
7431	0
7461	0
7521	1
7551	0
2810	0
7661	0
7761	0
7831	0
7921	0
2830	0
8601	0
13091	0
13191	0
13261	1
13371	0
5390	0
13431	0
14441	0
18181	0
4751	0
10501	0
15831	0
20341	0
20411	0
20481	0
20531	0
20571	0
1061	0
1131	0
1441	0
1451	0
2291	0
7371	0
13051	0
13571	1
18161	0
18171	0
7160	0
18191	0
18201	0
18231	1
18381	0
20741	0
4711	0
10481	0
10511	0
3840	0
10531	0
15781	0
17871	0
20241	0
20391	0
7630	0
1041	0
1081	0
120	0
140	0
1101	0
160	0
230	0
7321	0
7331	0
7351	0
7451	0
7501	1
7631	0
13041	0
13071	0
5490	1
13361	0
14961	0
18121	0
4601	0
10471	0
11651	0
11991	0
4430	0
12381	1
12391	1
4770	1
6330	1
6950	1
6960	1
6980	1
14751	0
6180	0
6200	0
6730	0
16191	0
16321	0
16861	0
17181	0
7030	0
17581	0
7020	0
7040	0
17691	0
15741	1
15761	0
15791	0
15801	0
6820	0
15971	0
15991	0
6710	0
6830	0
16001	0
6700	0
18131	0
20171	0
1031	0
1261	0
1271	0
1681	0
560	0
880	0
1640	0
1980	0
1701	0
2050	0
1791	0
450	0
