ID	INSIGHT	INCLUSION	CAUSATION	INHIBITION	DISCREPANCY	TENTATIVENESS	COGNITIVE PROCESSES	EXCLUSION	CERTAINTY	
4991	5.1429	3.4286	1.7143	0.5714	2.2857	2.2857	17.1429	1.7143	1.1429	
10631	4.3478	1.4493	0.0000	0.0000	1.4493	7.2464	21.7391	4.3478	2.8986	
11001	7.6923	3.0769	1.5385	1.5385	0.0000	6.1538	21.5385	1.5385	0.0000	
11011	5.2885	4.3269	1.4423	0.4808	0.9615	1.9231	17.3077	2.4038	1.4423	
12021	0.0000	18.1818	0.0000	0.0000	0.0000	0.0000	18.1818	0.0000	0.0000	
16061	5.0000	2.0000	1.0000	0.0000	5.0000	2.0000	20.0000	2.0000	3.0000	
20851	10.2564	2.5641	1.2821	0.0000	2.5641	5.1282	23.0769	3.8462	2.5641	
20861	6.8627	3.9216	1.9608	0.0000	2.9412	5.8824	25.4902	3.9216	2.9412	
7790	5.5556	0.0000	5.5556	0.0000	1.8519	7.4074	18.5185	0.0000	0.0000	
1171	12.5000	0.0000	0.0000	0.0000	12.5000	6.2500	25.0000	6.2500	0.0000	
1291	3.7037	7.4074	3.7037	0.0000	3.7037	7.4074	29.6296	7.4074	3.7037	
570	10.0000	5.0000	0.0000	5.0000	0.0000	0.0000	20.0000	0.0000	0.0000	
1401	4.9383	7.4074	3.7037	0.0000	1.2346	7.4074	25.9259	3.7037	1.2346	
300	4.2553	8.5106	2.1277	0.0000	2.1277	6.3830	23.4043	4.2553	2.1277	
370	0.7353	2.2059	0.0000	0.0000	2.9412	1.4706	8.8235	1.4706	0.7353	
390	1.8405	2.4540	0.6135	0.0000	0.0000	5.5215	14.7239	0.6135	3.0675	
400	4.0000	6.0000	0.0000	0.0000	0.0000	0.0000	16.0000	4.0000	2.0000	
5930	1.7241	6.8966	1.7241	3.4483	1.7241	1.7241	20.6897	1.7241	0.0000	
6340	5.3571	5.3571	1.7857	0.0000	3.5714	7.1429	21.4286	5.3571	0.0000	
6840	8.2126	4.3478	1.9324	0.4831	0.4831	3.3816	23.1884	4.8309	0.9662	
1581	20.0000	0.0000	0.0000	0.0000	10.0000	0.0000	30.0000	0.0000	0.0000	
1621	4.5455	5.3030	3.7879	0.0000	0.7576	2.2727	18.1818	1.5152	0.7576	
350	3.5714	0.0000	0.0000	0.0000	3.5714	7.1429	10.7143	0.0000	0.0000	
470	0.0000	5.0000	0.0000	0.0000	0.0000	0.0000	5.0000	0.0000	0.0000	
730	4.5455	4.5455	1.2987	0.0000	0.6494	1.2987	18.8312	2.5974	1.9481	
1761	2.8986	0.0000	1.4493	2.8986	0.0000	4.3478	15.9420	5.7971	1.4493	
2081	2.0000	2.0000	0.0000	0.0000	0.0000	2.0000	8.0000	0.0000	0.0000	
2211	5.3571	1.7857	0.0000	0.0000	3.5714	3.5714	14.2857	3.5714	3.5714	
2651	2.0833	4.1667	2.0833	0.0000	2.0833	2.0833	12.5000	0.0000	2.0833	
2911	6.6667	6.6667	0.0000	0.0000	13.3333	6.6667	26.6667	0.0000	0.0000	
3161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.3333	0.0000	8.3333	
3241	0.0000	5.5556	0.0000	0.0000	0.0000	0.0000	5.5556	0.0000	0.0000	
6880	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.5556	0.0000	0.0000	
3341	6.1404	4.3860	0.8772	0.8772	3.5088	2.6316	20.1754	4.3860	0.0000	
790	2.5316	5.0633	3.7975	0.0000	0.0000	1.2658	13.9241	0.0000	1.2658	
1050	6.4516	6.4516	6.4516	0.0000	3.2258	0.0000	22.5806	0.0000	0.0000	
3401	2.2222	4.4444	3.3333	0.0000	2.2222	2.2222	14.4444	1.1111	1.1111	
10781	7.1429	0.0000	0.0000	0.0000	0.0000	0.0000	7.1429	0.0000	0.0000	
17151	1.6949	6.7797	3.3898	1.6949	3.3898	1.6949	20.3390	1.6949	0.0000	
17381	7.1429	7.1429	0.0000	0.0000	0.0000	0.0000	16.6667	0.0000	2.3810	
7721	8.1633	1.0204	1.0204	0.0000	2.0408	2.0408	16.3265	4.0816	0.0000	
7911	4.7619	4.7619	4.7619	0.0000	14.2857	14.2857	33.3333	4.7619	0.0000	
7941	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.0000	0.0000	0.0000	
7961	11.7647	2.9412	0.0000	0.0000	0.0000	2.9412	17.6471	2.9412	0.0000	
2750	3.1250	7.2917	3.1250	0.0000	1.0417	2.0833	23.9583	4.1667	3.1250	
8041	6.5934	4.3956	0.0000	0.0000	1.0989	5.4945	23.0769	4.3956	4.3956	
2510	8.3333	0.0000	0.0000	0.0000	4.1667	0.0000	20.8333	4.1667	4.1667	
2520	9.0909	9.0909	0.0000	0.0000	0.0000	4.5455	22.7273	0.0000	4.5455	
2590	0.0000	2.5000	0.0000	0.0000	0.0000	2.5000	5.0000	2.5000	0.0000	
2600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2610	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2720	6.8493	5.4795	1.3699	2.7397	0.0000	5.4795	26.0274	5.4795	1.3699	
2730	8.1081	4.0541	2.7027	0.0000	0.0000	8.1081	21.6216	1.3514	0.0000	
2870	9.2308	3.0769	3.0769	3.0769	0.0000	3.0769	30.7692	0.0000	7.6923	
2880	11.1111	5.5556	5.5556	0.0000	0.0000	0.0000	33.3333	0.0000	5.5556	
8071	3.9474	3.9474	2.6316	0.0000	2.6316	3.9474	19.7368	3.9474	1.3158	
2640	4.5455	4.5455	6.8182	0.0000	2.2727	4.5455	20.4545	0.0000	0.0000	
8161	13.6986	2.7397	0.0000	0.0000	5.4795	8.2192	26.0274	2.7397	0.0000	
2550	7.5269	6.4516	0.0000	2.1505	0.0000	3.2258	22.5806	3.2258	1.0753	
8191	9.6774	6.4516	0.0000	0.0000	0.0000	3.2258	25.8065	3.2258	6.4516	
2580	7.4074	0.0000	0.0000	3.7037	0.0000	0.0000	22.2222	7.4074	3.7037	
8371	5.4348	6.5217	0.0000	0.0000	5.4348	4.3478	20.6522	3.2609	0.0000	
3020	2.0833	2.0833	0.0000	0.0000	2.0833	6.2500	22.9167	8.3333	6.2500	
3040	0.0000	4.0000	0.0000	0.0000	4.0000	0.0000	8.0000	0.0000	0.0000	
3820	6.2500	0.0000	0.0000	0.0000	3.1250	3.1250	18.7500	3.1250	3.1250	
8511	6.1947	4.4248	3.5398	0.0000	0.8850	3.5398	22.1239	6.1947	0.0000	
3050	6.4516	9.6774	0.0000	0.0000	3.2258	3.2258	22.5806	3.2258	0.0000	
8531	5.1282	5.1282	1.7094	0.8547	1.7094	5.9829	23.9316	4.2735	2.5641	
3060	1.5152	6.0606	9.0909	0.0000	1.5152	1.5152	22.7273	0.0000	3.0303	
3850	4.9180	4.0984	0.0000	0.0000	1.6393	3.2787	18.8525	3.2787	2.4590	
3870	0.0000	11.1111	0.0000	0.0000	0.0000	0.0000	22.2222	0.0000	11.1111	
3880	1.3986	8.3916	5.5944	0.0000	0.6993	4.8951	24.4755	3.4965	2.0979	
8591	7.4074	0.0000	0.0000	0.0000	3.7037	3.7037	14.8148	0.0000	3.7037	
8621	10.3448	3.4483	6.8966	0.0000	0.0000	0.0000	24.1379	0.0000	3.4483	
3070	3.0303	0.0000	0.0000	0.0000	0.0000	0.0000	6.0606	3.0303	0.0000	
3140	4.1237	6.1856	4.1237	1.0309	0.0000	5.1546	24.7423	4.1237	4.1237	
8631	5.0420	7.5630	1.6807	0.8403	0.0000	2.5210	28.5714	5.0420	4.2017	
2780	11.7647	8.8235	0.0000	0.0000	0.0000	4.4118	29.4118	4.4118	1.4706	
2900	0.0000	0.0000	0.0000	0.0000	0.0000	7.6923	15.3846	0.0000	7.6923	
8671	11.2676	4.2254	0.0000	0.0000	2.8169	4.2254	25.3521	4.2254	4.2254	
2950	4.2857	2.8571	1.4286	1.4286	2.8571	1.4286	12.8571	2.8571	0.0000	
8711	3.3333	3.3333	0.0000	0.0000	3.3333	10.0000	20.0000	0.0000	6.6667	
8891	0.0000	4.8780	0.0000	2.4390	0.0000	0.0000	9.7561	0.0000	0.0000	
3240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.0000	0.0000	0.0000	
3250	0.0000	9.0909	0.0000	0.0000	0.0000	9.0909	18.1818	9.0909	0.0000	
3270	5.1282	5.1282	0.0000	0.0000	0.0000	0.0000	10.2564	0.0000	0.0000	
3460	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3860	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
9011	13.3333	6.6667	0.0000	0.0000	0.0000	6.6667	26.6667	0.0000	0.0000	
9161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
9191	3.7736	3.7736	3.7736	0.0000	0.0000	3.7736	22.6415	1.8868	7.5472	
3010	17.5000	2.5000	2.5000	0.0000	2.5000	2.5000	30.0000	2.5000	0.0000	
3030	8.8235	11.7647	0.0000	2.9412	0.0000	0.0000	26.4706	0.0000	2.9412	
