ID	FIRST	PREV	AVG	MIN	MAX	STDEV
4991	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10631	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11001	0.0500	0.0500	0.0500	0.0500	0.0500	0.0000
11011	0.2471	0.1668	0.2069	0.1668	0.2471	0.0568
12021	0.1173	0.1049	0.0746	0.0017	0.1173	0.0635
16061	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20851	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20861	0.2990	0.2990	0.2990	0.2990	0.2990	0.0000
7790	0.3152	0.2194	0.2673	0.2194	0.3152	0.0677
1171	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1291	0.0360	0.0360	0.0360	0.0360	0.0360	0.0000
570	0.0543	0.0071	0.0307	0.0071	0.0543	0.0333
1401	0.2108	0.0195	0.1135	0.0195	0.2108	0.0957
300	0.3352	0.1859	0.1498	0.0085	0.3352	0.1439
370	0.1784	0.1671	0.1525	0.0330	0.2418	0.0762
390	0.0735	0.1723	0.0846	0.0108	0.1723	0.0526
400	0.2089	0.1540	0.1420	0.0464	0.2089	0.0644
5930	0.1441	0.2603	0.1489	0.0655	0.2603	0.0739
6340	0.1023	0.1178	0.1176	0.0054	0.2148	0.0673
6840	0.1214	0.1022	0.1277	0.0532	0.1929	0.0398
1581	0.3491	0.0666	0.1076	0.0008	0.3491	0.1026
1621	0.3110	0.3034	0.1373	0.0199	0.3110	0.0996
350	0.2301	0.2309	0.1215	0.0175	0.2510	0.0774
470	0.2161	0.1500	0.1449	0.0079	0.3440	0.0922
730	0.1215	0.0679	0.0726	0.0146	0.1972	0.0456
1761	0.1436	0.1033	0.1079	0.0231	0.2364	0.0566
2081	0.0274	0.0087	0.0116	0.0001	0.0365	0.0104
2211	0.1357	0.0174	0.0666	0.0094	0.1666	0.0436
2651	0.0118	0.0182	0.0666	0.0115	0.2079	0.0637
2911	0.3943	0.2104	0.1675	0.0011	0.3943	0.1289
3161	0.1301	0.1400	0.0557	0.0018	0.1501	0.0475
3241	0.2066	0.0012	0.0890	0.0012	0.2066	0.0693
6880	0.0000	0.0001	0.0119	0.0000	0.0543	0.0141
3341	0.2807	0.0044	0.1304	0.0044	0.2807	0.0769
790	0.2575	0.1986	0.1376	0.0055	0.2575	0.0767
1050	0.1621	0.0664	0.0511	0.0019	0.1621	0.0299
3401	0.0130	0.0102	0.0474	0.0060	0.1461	0.0394
10781	0.0000	0.0029	0.0207	0.0000	0.0681	0.0193
17151	0.1007	0.0140	0.0707	0.0026	0.1743	0.0478
17381	0.0252	0.0267	0.0391	0.0012	0.1071	0.0238
7721	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7911	0.1217	0.1217	0.1217	0.1217	0.1217	0.0000
7941	0.0685	0.0001	0.0343	0.0001	0.0685	0.0484
7961	0.1692	0.0947	0.0977	0.0291	0.1692	0.0701
2750	0.0941	0.0153	0.0856	0.0153	0.1394	0.0515
8041	0.2360	0.0674	0.1091	0.0463	0.2360	0.0753
2510	0.3435	0.0722	0.1241	0.0196	0.3435	0.1132
2520	0.1560	0.0652	0.0987	0.0215	0.2791	0.0921
2590	0.0626	0.1308	0.0410	0.0021	0.1308	0.0473
2600	0.0049	0.0042	0.0025	0.0000	0.0049	0.0017
2610	0.0002	0.0000	0.0010	0.0000	0.0097	0.0030
2720	0.1634	0.0001	0.0629	0.0001	0.1634	0.0525
2730	0.1458	0.1495	0.0795	0.0003	0.1767	0.0654
2870	0.1156	0.1540	0.1031	0.0001	0.3779	0.1055
2880	0.0515	0.2922	0.0778	0.0000	0.2922	0.0878
8071	0.2881	0.1378	0.1094	0.0002	0.2881	0.0803
2640	0.0800	0.2001	0.0772	0.0001	0.2001	0.0599
8161	0.2988	0.1381	0.1356	0.0002	0.2988	0.0955
2550	0.2042	0.1359	0.0811	0.0001	0.2042	0.0616
8191	0.2248	0.0781	0.0901	0.0001	0.2697	0.0738
2580	0.1510	0.3353	0.0822	0.0001	0.3353	0.0779
8371	0.1050	0.0679	0.0581	0.0001	0.1198	0.0374
3020	0.0572	0.0297	0.0350	0.0001	0.0747	0.0232
