ID	RELIGION	LEISURE	ACHIEVEMENT	HOME	WORK	MONEY	DEATH	
4991	0.0000	0.5714	0.5714	1.1429	4.0000	0.0000	0.0000	
10631	0.0000	1.4493	0.0000	0.0000	5.7971	0.0000	0.0000	
11001	0.0000	1.5385	3.0769	0.0000	6.1538	0.0000	0.0000	
11011	0.0000	2.4038	0.9615	0.0000	10.0962	0.9615	0.0000	
12021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16061	0.0000	0.0000	3.0000	1.0000	3.0000	0.0000	0.0000	
20851	0.0000	5.1282	0.0000	0.0000	2.5641	1.2821	0.0000	
20861	0.0000	3.9216	0.9804	0.0000	1.9608	0.0000	0.0000	
7790	0.0000	7.4074	3.7037	0.0000	11.1111	0.0000	0.0000	
1171	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1291	0.0000	0.0000	7.4074	0.0000	11.1111	0.0000	0.0000	
570	0.0000	0.0000	5.0000	0.0000	0.0000	0.0000	0.0000	
1401	0.0000	0.0000	2.4691	0.0000	4.9383	0.0000	0.0000	
300	0.0000	0.0000	0.0000	0.0000	4.2553	0.0000	0.0000	
370	0.0000	0.0000	2.2059	0.0000	11.7647	1.4706	0.0000	
390	0.0000	0.6135	1.8405	0.0000	7.9755	1.2270	0.6135	
400	0.0000	0.0000	2.0000	0.0000	6.0000	0.0000	0.0000	
5930	0.0000	0.0000	1.7241	0.0000	6.8966	0.0000	0.0000	
6340	0.0000	0.0000	3.5714	0.0000	8.9286	0.0000	0.0000	
6840	0.0000	0.0000	2.4155	0.4831	6.7633	0.0000	0.0000	
1581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1621	0.0000	0.0000	0.0000	0.0000	3.7879	0.0000	0.0000	
350	0.0000	0.0000	0.0000	0.0000	7.1429	0.0000	0.0000	
470	0.0000	0.0000	0.0000	0.0000	15.0000	0.0000	0.0000	
730	0.0000	0.0000	1.2987	0.0000	4.5455	0.0000	0.0000	
1761	0.0000	0.0000	1.4493	0.0000	2.8986	0.0000	0.0000	
2081	0.0000	0.0000	0.0000	0.0000	10.0000	0.0000	2.0000	
2211	0.0000	1.7857	0.0000	0.0000	8.9286	0.0000	0.0000	
2651	0.0000	0.0000	2.0833	0.0000	14.5833	0.0000	0.0000	
2911	0.0000	0.0000	0.0000	0.0000	6.6667	0.0000	0.0000	
3161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3241	0.0000	0.0000	0.0000	0.0000	16.6667	0.0000	0.0000	
6880	0.0000	0.0000	5.5556	0.0000	5.5556	0.0000	0.0000	
3341	0.0000	0.0000	4.3860	0.0000	6.1404	0.8772	0.0000	
790	1.2658	0.0000	3.7975	0.0000	5.0633	0.0000	0.0000	
1050	0.0000	0.0000	0.0000	0.0000	19.3548	0.0000	0.0000	
3401	0.0000	0.0000	1.1111	0.0000	3.3333	0.0000	2.2222	
10781	0.0000	0.0000	0.0000	0.0000	14.2857	0.0000	0.0000	
17151	0.0000	0.0000	3.3898	0.0000	6.7797	0.0000	0.0000	
17381	2.3810	0.0000	0.0000	0.0000	2.3810	0.0000	0.0000	
7721	0.0000	0.0000	4.0816	2.0408	7.1429	0.0000	0.0000	
7911	0.0000	0.0000	0.0000	0.0000	4.7619	0.0000	0.0000	
7941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
7961	0.0000	2.9412	0.0000	2.9412	5.8824	2.9412	0.0000	
2750	0.0000	0.0000	2.0833	0.0000	4.1667	0.0000	0.0000	
8041	0.0000	0.0000	2.1978	0.0000	0.0000	0.0000	0.0000	
2510	0.0000	0.0000	0.0000	4.1667	12.5000	0.0000	0.0000	
2520	0.0000	4.5455	4.5455	0.0000	4.5455	0.0000	0.0000	
2590	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2610	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2720	0.0000	0.0000	4.1096	0.0000	2.7397	0.0000	0.0000	
2730	0.0000	2.7027	8.1081	0.0000	6.7568	0.0000	0.0000	
2870	0.0000	0.0000	1.5385	0.0000	1.5385	0.0000	0.0000	
2880	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8071	0.0000	0.0000	1.3158	1.3158	7.8947	1.3158	0.0000	
2640	0.0000	4.5455	0.0000	0.0000	2.2727	0.0000	0.0000	
8161	0.0000	0.0000	1.3699	1.3699	1.3699	1.3699	0.0000	
2550	0.0000	0.0000	2.1505	0.0000	6.4516	0.0000	0.0000	
8191	0.0000	0.0000	3.2258	3.2258	12.9032	0.0000	0.0000	
2580	0.0000	3.7037	7.4074	0.0000	11.1111	0.0000	0.0000	
8371	0.0000	0.0000	4.3478	2.1739	13.0435	0.0000	0.0000	
3020	0.0000	0.0000	2.0833	0.0000	10.4167	0.0000	0.0000	
3040	0.0000	0.0000	0.0000	0.0000	8.0000	0.0000	0.0000	
3820	0.0000	0.0000	3.1250	0.0000	0.0000	0.0000	0.0000	
8511	0.0000	0.0000	3.5398	0.0000	2.6549	0.0000	0.0000	
3050	0.0000	3.2258	0.0000	0.0000	6.4516	0.0000	0.0000	
8531	0.0000	2.5641	0.8547	0.8547	5.9829	0.0000	0.0000	
3060	0.0000	0.0000	3.0303	0.0000	4.5455	0.0000	0.0000	
3850	0.0000	1.6393	3.2787	0.8197	9.8361	0.0000	0.0000	
3870	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3880	0.0000	0.6993	5.5944	0.0000	6.2937	0.0000	0.0000	
8591	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8621	0.0000	0.0000	0.0000	0.0000	6.8966	3.4483	0.0000	
3070	0.0000	0.0000	3.0303	0.0000	3.0303	0.0000	0.0000	
3140	0.0000	1.0309	1.0309	0.0000	1.0309	0.0000	0.0000	
8631	0.0000	1.6807	3.3613	0.0000	2.5210	0.0000	0.0000	
2780	0.0000	0.0000	1.4706	1.4706	5.8824	0.0000	0.0000	
2900	0.0000	0.0000	7.6923	7.6923	7.6923	0.0000	0.0000	
8671	0.0000	0.0000	2.8169	0.0000	1.4085	0.0000	0.0000	
2950	0.0000	0.0000	4.2857	0.0000	0.0000	0.0000	0.0000	
8711	0.0000	0.0000	0.0000	3.3333	3.3333	0.0000	0.0000	
8891	0.0000	2.4390	2.4390	0.0000	0.0000	0.0000	0.0000	
3240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3250	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3270	0.0000	0.0000	0.0000	0.0000	5.1282	0.0000	0.0000	
3460	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3860	0.0000	0.0000	10.0000	0.0000	0.0000	0.0000	0.0000	
9011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
9161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
9191	0.0000	0.0000	1.8868	0.0000	1.8868	0.0000	0.0000	
3010	0.0000	0.0000	2.5000	0.0000	0.0000	2.5000	0.0000	
3030	0.0000	0.0000	2.9412	0.0000	0.0000	0.0000	0.0000	
9221	0.0000	2.5641	0.0000	0.0000	0.0000	0.0000	0.0000	
9241	0.0000	0.0000	0.0000	0.0000	3.7037	0.0000	0.0000	
9261	0.0000	0.0000	0.8772	0.0000	9.6491	0.8772	0.0000	
9521	0.0000	0.0000	3.3058	0.0000	5.7851	0.0000	0.0000	
3230	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3280	0.0000	2.5000	2.5000	0.0000	2.5000	0.0000	0.0000	
3300	0.0000	0.0000	0.0000	0.0000	12.0000	4.0000	0.0000	
3320	0.0000	0.0000	4.7619	0.0000	0.0000	0.0000	0.0000	
9891	0.0000	0.0000	7.0175	1.7544	1.7544	0.0000	0.0000	
3560	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
10011	0.0000	0.0000	6.6667	3.3333	10.0000	0.0000	0.0000	
10151	0.0000	0.0000	5.0000	0.0000	2.5000	0.0000	0.0000	
10371	0.0000	0.0000	7.1429	0.0000	3.5714	0.0000	0.0000	
13441	0.0000	0.0000	0.0000	1.5625	1.5625	1.5625	0.0000	
13501	0.0000	0.0000	7.1429	0.0000	0.0000	0.0000	0.0000	
5430	0.0000	1.2500	2.5000	0.0000	2.5000	0.0000	0.0000	
6310	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6350	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
13751	0.0000	0.0000	3.0303	0.0000	0.0000	0.0000	0.0000	
5980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
14311	0.0000	0.0000	0.0000	5.8824	5.8824	0.0000	0.0000	
18271	0.0000	0.0000	0.0000	0.0000	6.4516	0.0000	0.0000	
4971	0.5291	1.0582	2.1164	0.0000	5.8201	0.0000	0.0000	
5271	0.0000	1.7544	0.0000	0.0000	8.7719	0.0000	0.0000	
5301	0.0000	0.0000	0.0000	0.0000	12.5000	0.0000	0.0000	
6691	0.0000	3.5714	5.3571	0.0000	8.9286	0.0000	0.0000	
2020	0.0000	11.1111	0.0000	0.0000	0.0000	0.0000	0.0000	
6791	0.0000	2.2727	0.0000	0.0000	4.5455	0.0000	0.0000	
10601	0.0000	1.4706	0.0000	0.0000	4.4118	0.0000	0.0000	
10721	0.0000	0.0000	3.4483	0.0000	3.4483	0.0000	0.0000	
10751	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
12741	0.0000	0.7463	1.4925	0.0000	2.2388	0.7463	0.0000	
