ID	DAYS	HOURS	MINUTES
4991	7.0000	149.0000	8924.0000
10631	3.0000	55.0000	3298.0000
11001	2.0000	45.0000	2677.0000
11011	2.0000	44.0000	2639.0000
12021	1.0000	4.0000	184.0000
16061	2.0000	45.0000	2676.0000
20851	2.0000	27.0000	1619.0000
20861	2.0000	25.0000	1486.0000
7790	1.0000	2.0000	117.0000
1171	9.0000	215.0000	12866.0000
1291	9.0000	213.0000	12776.0000
570	9.0000	194.0000	11587.0000
1401	9.0000	212.0000	12668.0000
300	9.0000	209.0000	12510.0000
370	9.0000	207.0000	12382.0000
390	9.0000	200.0000	11988.0000
400	9.0000	200.0000	11985.0000
5930	2.0000	42.0000	2469.0000
6340	6.0000	132.0000	7898.0000
6840	9.0000	195.0000	11652.0000
1581	9.0000	208.0000	12443.0000
1621	9.0000	207.0000	12393.0000
350	9.0000	207.0000	12389.0000
470	9.0000	198.0000	11826.0000
730	8.0000	185.0000	11068.0000
1761	9.0000	201.0000	12051.0000
2081	9.0000	196.0000	11731.0000
2211	9.0000	194.0000	11601.0000
2651	8.0000	190.0000	11368.0000
2911	8.0000	187.0000	11206.0000
3161	8.0000	186.0000	11106.0000
3241	8.0000	185.0000	11065.0000
6880	7.0000	146.0000	8722.0000
3341	8.0000	183.0000	10954.0000
790	8.0000	183.0000	10949.0000
1050	8.0000	171.0000	10248.0000
3401	8.0000	182.0000	10909.0000
10781	3.0000	50.0000	2979.0000
17151	6.0000	137.0000	8163.0000
17381	5.0000	108.0000	6474.0000
7721	2.0000	40.0000	2353.0000
7911	2.0000	32.0000	1889.0000
7941	2.0000	31.0000	1836.0000
7961	2.0000	30.0000	1769.0000
2750	1.0000	9.0000	513.0000
8041	2.0000	29.0000	1705.0000
2510	2.0000	27.0000	1581.0000
2520	2.0000	26.0000	1544.0000
2590	1.0000	22.0000	1303.0000
2600	1.0000	22.0000	1301.0000
2610	1.0000	22.0000	1291.0000
2720	1.0000	15.0000	891.0000
2730	1.0000	15.0000	880.0000
2870	7.0000	164.0000	9838.0000
2880	7.0000	164.0000	9833.0000
8071	2.0000	28.0000	1671.0000
2640	1.0000	21.0000	1235.0000
8161	2.0000	26.0000	1526.0000
2550	2.0000	25.0000	1462.0000
8191	2.0000	25.0000	1465.0000
2580	1.0000	22.0000	1313.0000
8371	1.0000	17.0000	966.0000
