ID	TOTAL PRON	AUXILIARY VERBS	1ST SINGULAR	3RD PLURAL	UNIQUE	NUMBERS	PREPOSITIONS	TOTAL 2ND	CONJUNCTIONS	ARTICLES	SWEAR WORDS	ABBREVIATIONS	1ST PLURAL	FUNCTION WORDS	3RD SINGULAR	SIXLTR	FUTURE TENSE	PERSONAL PRON	QUANTIFIERS	WPS	PRESENT TENSE	NEGATIONS	IMPERSONAL PRON	ADVERBS	PAST TENSE	COMMON VERBS	
4991	9.7143	5.7143	2.8571	0.5714	71.4286	1.7143	14.8571	1.1429	6.2857	6.8571	0.0000	0.5714	0.0000	49.7143	0.0000	24.5714	0.0000	4.5714	5.1429	43.7500	6.2857	1.1429	5.1429	4.5714	0.0000	7.4286	
10631	14.4928	7.2464	4.3478	0.0000	84.0580	0.0000	8.6957	1.4493	7.2464	5.7971	0.0000	0.0000	0.0000	50.7246	0.0000	24.6377	0.0000	5.7971	4.3478	9.8571	7.2464	0.0000	8.6957	5.7971	2.8986	10.1449	
11001	4.6154	3.0769	0.0000	1.5385	80.0000	3.0769	10.7692	0.0000	6.1538	13.8462	0.0000	0.0000	0.0000	49.2308	0.0000	23.0769	0.0000	1.5385	7.6923	16.2500	6.1538	0.0000	3.0769	4.6154	0.0000	6.1538	
11011	12.5000	4.3269	2.4038	0.4808	62.0192	1.4423	13.9423	2.4038	6.7308	5.7692	0.0000	0.0000	0.4808	50.0000	0.4808	24.5192	0.4808	6.2500	1.9231	52.0000	4.8077	0.4808	6.2500	5.7692	0.4808	5.7692	
12021	18.1818	0.0000	0.0000	0.0000	100.0000	0.0000	9.0909	18.1818	9.0909	0.0000	0.0000	0.0000	0.0000	45.4545	0.0000	9.0909	0.0000	18.1818	9.0909	5.5000	9.0909	0.0000	0.0000	0.0000	0.0000	9.0909	
16061	11.0000	9.0000	7.0000	0.0000	75.0000	6.0000	9.0000	1.0000	4.0000	6.0000	0.0000	1.0000	0.0000	40.0000	0.0000	29.0000	0.0000	8.0000	4.0000	20.0000	2.0000	0.0000	3.0000	1.0000	4.0000	10.0000	
20851	17.9487	10.2564	11.5385	0.0000	73.0769	0.0000	10.2564	0.0000	8.9744	3.8462	0.0000	0.0000	0.0000	55.1282	0.0000	23.0769	1.2821	11.5385	3.8462	13.0000	8.9744	1.2821	6.4103	3.8462	5.1282	15.3846	
20861	10.7843	6.8627	3.9216	2.9412	73.5294	1.9608	4.9020	0.0000	5.8824	6.8627	0.0000	0.0000	0.0000	50.0000	0.0000	22.5490	0.9804	6.8627	4.9020	17.0000	7.8431	0.9804	3.9216	10.7843	1.9608	11.7647	
7790	12.9630	11.1111	1.8519	0.0000	79.6296	1.8519	12.9630	1.8519	3.7037	3.7037	0.0000	0.0000	0.0000	46.2963	0.0000	18.5185	5.5556	3.7037	1.8519	54.0000	5.5556	0.0000	9.2593	1.8519	1.8519	16.6667	
1171	6.2500	25.0000	6.2500	0.0000	93.7500	0.0000	12.5000	0.0000	6.2500	6.2500	0.0000	0.0000	0.0000	56.2500	0.0000	37.5000	12.5000	6.2500	0.0000	16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.0000	
1291	18.5185	11.1111	3.7037	0.0000	85.1852	0.0000	7.4074	0.0000	7.4074	7.4074	0.0000	0.0000	7.4074	66.6667	0.0000	14.8148	0.0000	11.1111	3.7037	13.5000	18.5185	3.7037	7.4074	11.1111	0.0000	18.5185	
570	15.0000	20.0000	5.0000	0.0000	90.0000	0.0000	5.0000	0.0000	10.0000	0.0000	0.0000	0.0000	0.0000	55.0000	0.0000	30.0000	0.0000	5.0000	10.0000	20.0000	10.0000	0.0000	10.0000	0.0000	5.0000	25.0000	
1401	12.3457	12.3457	1.2346	0.0000	76.5432	0.0000	13.5802	0.0000	9.8765	7.4074	0.0000	0.0000	2.4691	60.4938	0.0000	19.7531	0.0000	3.7037	3.7037	40.5000	12.3457	0.0000	8.6420	3.7037	4.9383	19.7531	
300	12.7660	4.2553	2.1277	0.0000	87.2340	0.0000	14.8936	4.2553	8.5106	6.3830	0.0000	0.0000	0.0000	59.5745	0.0000	25.5319	0.0000	6.3830	6.3830	15.6667	2.1277	0.0000	6.3830	8.5106	10.6383	12.7660	
370	13.2353	11.7647	5.1471	0.0000	64.7059	2.2059	16.1765	0.0000	3.6765	8.0882	0.0000	0.0000	0.0000	58.0882	2.2059	18.3824	2.2059	7.3529	2.2059	22.6667	5.8824	0.7353	5.8824	3.6765	6.6176	15.4412	
390	6.7485	5.5215	1.8405	0.0000	75.4601	6.1350	9.8160	0.6135	3.6810	7.3620	0.0000	0.0000	0.0000	42.3313	0.0000	22.6994	1.2270	2.4540	3.6810	23.2857	4.9080	0.6135	4.2945	4.9080	2.4540	9.2025	
400	16.0000	2.0000	10.0000	2.0000	82.0000	0.0000	18.0000	0.0000	6.0000	8.0000	0.0000	0.0000	0.0000	58.0000	0.0000	20.0000	0.0000	12.0000	4.0000	12.5000	2.0000	0.0000	4.0000	4.0000	8.0000	10.0000	
5930	15.5172	6.8966	10.3448	0.0000	74.1379	0.0000	15.5172	0.0000	10.3448	8.6207	0.0000	0.0000	0.0000	56.8966	0.0000	15.5172	1.7241	10.3448	1.7241	19.3333	15.5172	0.0000	5.1724	3.4483	3.4483	20.6897	
