ID	LINKS
4991	0
10631	0
11001	0
11011	2
12021	0
16061	0
20851	0
20861	0
7790	1
1171	0
1291	0
570	0
1401	0
300	0
370	0
390	1
400	0
5930	0
6340	0
6840	1
1581	0
1621	2
350	0
470	0
730	1
1761	0
2081	2
2211	1
2651	0
2911	0
3161	0
3241	0
6880	0
3341	1
790	0
1050	0
3401	0
10781	1
17151	0
17381	0
7721	0
7911	0
7941	0
7961	0
2750	0
8041	0
2510	0
2520	0
2590	0
2600	0
2610	0
2720	0
2730	0
2870	0
2880	0
8071	0
2640	0
8161	0
2550	0
8191	0
2580	0
8371	0
3020	0
3040	0
3820	0
8511	0
3050	0
8531	0
3060	0
3850	0
3870	0
3880	2
8591	0
8621	1
3070	0
3140	0
8631	0
2780	0
2900	0
8671	0
2950	0
8711	0
8891	0
3240	0
3250	0
3270	0
3460	0
3860	0
9011	0
9161	0
9191	0
3010	0
3030	0
9221	0
9241	0
9261	2
9521	2
3230	0
3280	0
3300	0
3320	0
9891	0
3560	0
10011	0
10151	0
10371	0
13441	0
13501	0
5430	20
6310	0
6350	0
13751	0
5980	0
14311	0
18271	2
4971	0
5271	0
5301	0
6691	0
2020	0
6791	0
10601	0
10721	2
10751	1
12741	0
12861	0
16051	0
17021	0
17051	0
17071	0
6860	1
7170	0
20621	2
20761	0
7740	0
20871	0
7750	0
20941	0
7760	0
20951	0
20961	0
21251	0
21261	0
21281	0
21421	0
21461	0
22111	0
1151	0
1181	0
200	0
210	0
1371	1
1381	1
280	0
520	0
1380	0
4451	1
4461	0
6431	0
7671	1
7691	0
8001	0
8241	0
2670	1
2700	0
8311	0
2680	0
2710	0
8321	0
2690	0
8471	0
8501	2
8661	1
2820	0
3160	0
8801	0
3090	0
3100	0
3150	0
3330	0
8811	0
8911	0
9111	0
9471	0
13401	0
13461	1
13701	0
13951	0
14951	0
6210	0
15001	0
15041	0
6250	0
15111	0
15421	0
18261	0
18331	1
4941	0
10561	0
10671	0
16021	2
16031	0
16041	0
16071	0
16091	0
16121	0
16181	0
16251	0
16311	0
16341	0
16441	0
16491	0
16501	0
16511	0
16541	0
16591	0
16831	0
20591	0
20681	0
7770	1
20801	0
20881	0
20891	0
21001	0
7800	0
1141	0
4531	0
7571	0
7651	0
2740	0
8421	0
8431	0
8441	0
10041	0
13381	1
13421	2
5400	1
18251	0
18341	0
18401	0
18411	2
4921	0
5041	0
1480	0
5131	0
5311	0
5341	0
6501	0
6551	0
10541	0
10551	0
10931	0
11021	1
4090	0
11501	1
11521	0
4110	0
4650	0
4720	0
11781	1
11961	0
12331	0
4730	1
12441	0
15931	0
18971	0
7940	0
19011	0
19111	0
19151	0
19181	0
7580	0
19191	0
19401	0
19441	0
19511	0
19571	0
19601	0
19611	0
19631	0
19641	0
19661	1
19691	0
19821	0
19851	0
19891	0
7510	0
19921	0
19941	0
7860	0
20061	0
20081	0
20121	0
20131	0
20151	0
20181	0
20191	0
20211	0
20221	0
20231	0
20251	0
20261	0
20281	0
20301	0
20311	0
20321	0
20331	0
20361	0
20371	0
20401	0
20461	0
20471	0
20651	0
20661	0
20671	0
20831	0
20911	0
21011	0
21021	0
21031	0
21131	1
21141	0
21151	0
21161	0
21171	0
21181	0
21191	0
21211	0
21271	0
21291	0
21301	0
21351	0
21361	0
21401	0
21411	0
21501	0
21511	0
21521	0
21541	0
21581	0
21591	0
21601	0
21621	0
21651	0
21671	0
21681	0
21831	1
21901	0
21941	0
21991	0
22001	0
22011	0
22021	0
22031	0
22061	0
22071	0
22081	0
22101	0
22121	0
22131	0
22141	0
7950	0
20561	0
20841	0
7780	0
7880	0
7890	0
20901	0
20921	0
20931	0
20971	0
20981	0
20991	0
21081	0
21381	0
21441	0
21451	0
21471	0
21481	0
21731	0
21911	0
21931	0
21951	0
21961	0
21971	0
21981	0
1091	0
1121	0
1191	1
310	0
1341	1
7441	2
7781	0
2930	0
3680	0
4200	0
4290	0
4660	0
4670	0
4700	0
8011	0
2490	0
2660	0
3540	0
3550	0
8141	0
4170	0
4190	0
8171	0
2570	0
2800	0
2840	0
8691	0
2790	0
8701	0
8881	0
9071	0
2970	0
2980	0
3000	0
9131	0
2990	0
9151	0
9181	0
9321	0
9421	0
9571	0
9591	0
9931	1
3570	0
4030	0
9971	0
10001	0
10261	0
10621	0
10731	0
11031	0
11081	0
11871	0
4260	0
4310	0
4540	0
4580	0
5820	0
12431	1
4790	0
15221	0
13161	0
18211	2
4771	0
4841	0
13131	0
10521	0
10711	0
4020	0
11051	0
15871	0
15881	1
20551	0
20601	0
1071	0
1111	0
1601	0
320	0
1661	0
380	0
7391	0
7431	0
7461	0
7521	0
7551	0
2810	0
7661	0
7761	0
7831	0
7921	0
2830	0
8601	0
13091	0
13191	5
13261	0
13371	0
5390	0
13431	0
14441	0
18181	2
4751	0
10501	0
15831	0
20341	2
20411	0
20481	0
20531	0
20571	0
1061	0
1131	0
1441	0
1451	0
2291	0
7371	0
13051	0
13571	0
18161	1
18171	0
7160	0
18191	0
18201	0
18231	1
18381	1
20741	0
4711	0
10481	0
10511	0
3840	0
10531	1
15781	2
17871	1
20241	0
20391	0
7630	0
1041	0
1081	1
120	0
140	0
1101	0
160	0
230	0
7321	0
7331	0
7351	0
7451	0
7501	0
7631	0
13041	0
13071	0
5490	0
13361	0
14961	0
18121	0
4601	0
10471	0
11651	1
11991	0
4430	0
12381	3
12391	0
4770	0
6330	0
6950	0
6960	2
6980	0
14751	0
6180	0
6200	0
6730	0
16191	0
16321	0
16861	0
17181	0
7030	0
17581	0
7020	0
7040	0
17691	0
15741	1
15761	0
15791	0
15801	0
6820	0
15971	0
15991	0
6710	0
6830	0
16001	0
6700	0
18131	0
20171	0
1031	1
1261	0
1271	0
1681	0
560	0
880	0
1640	0
1980	0
1701	0
2050	0
1791	0
450	0
990	0
