ID	ABSOLUTE_MOD	RELATIVE_MOD
4991	0.0000	0.0000
10631	1.0000	0.0111
11001	0.0000	0.0000
11011	5.0000	0.0200
12021	0.0000	0.0000
16061	1.0000	0.0082
20851	1.0000	0.0118
20861	1.0000	0.0083
7790	3.0000	0.0517
1171	2.0000	0.1250
1291	2.0000	0.0714
570	0.0000	0.0000
1401	2.0000	0.0241
300	0.0000	0.0000
370	4.0000	0.0268
390	2.0000	0.0104
400	0.0000	0.0000
5930	1.0000	0.0164
6340	1.0000	0.0172
6840	4.0000	0.0173
1581	1.0000	0.0909
1621	1.0000	0.0061
350	0.0000	0.0000
470	0.0000	0.0000
730	1.0000	0.0051
1761	0.0000	0.0000
2081	0.0000	0.0000
2211	1.0000	0.0156
2651	0.0000	0.0000
2911	1.0000	0.0625
3161	0.0000	0.0000
3241	0.0000	0.0000
6880	0.0000	0.0000
3341	3.0000	0.0224
790	0.0000	0.0000
1050	1.0000	0.0278
3401	1.0000	0.0102
10781	0.0000	0.0000
17151	2.0000	0.0323
17381	0.0000	0.0000
7721	3.0000	0.0270
7911	2.0000	0.0909
7941	1.0000	0.0833
7961	0.0000	0.0000
2750	1.0000	0.0090
8041	0.0000	0.0000
2510	2.0000	0.0690
2520	1.0000	0.0417
2590	0.0000	0.0000
2600	0.0000	0.0000
2610	0.0000	0.0000
2720	0.0000	0.0000
2730	1.0000	0.0108
2870	1.0000	0.0137
2880	0.0000	0.0000
8071	2.0000	0.0222
2640	0.0000	0.0000
8161	3.0000	0.0337
2550	1.0000	0.0099
8191	1.0000	0.0278
2580	0.0000	0.0000
8371	4.0000	0.0385
3020	0.0000	0.0000
3040	1.0000	0.0345
3820	0.0000	0.0000
8511	1.0000	0.0081
3050	0.0000	0.0000
8531	1.0000	0.0079
3060	1.0000	0.0141
3850	5.0000	0.0342
3870	0.0000	0.0000
3880	1.0000	0.0058
8591	1.0000	0.0312
8621	1.0000	0.0294
3070	1.0000	0.0244
3140	0.0000	0.0000
8631	1.0000	0.0074
2780	1.0000	0.0123
2900	0.0000	0.0000
8671	0.0000	0.0000
2950	1.0000	0.0123
8711	1.0000	0.0312
8891	2.0000	0.0417
3240	0.0000	0.0000
3250	0.0000	0.0000
3270	0.0000	0.0000
3460	0.0000	0.0000
3860	1.0000	0.0909
9011	0.0000	0.0000
9161	0.0000	0.0000
9191	0.0000	0.0000
3010	0.0000	0.0000
3030	0.0000	0.0000
9221	0.0000	0.0000
9241	2.0000	0.0345
9261	1.0000	0.0071
9521	1.0000	0.0058
3230	0.0000	0.0000
3280	1.0000	0.0222
3300	0.0000	0.0000
3320	0.0000	0.0000
9891	1.0000	0.0149
3560	0.0000	0.0000
10011	1.0000	0.0312
10151	1.0000	0.0116
10371	0.0000	0.0000
13441	0.0000	0.0000
13501	0.0000	0.0000
5430	0.0000	0.0000
6310	0.0000	0.0000
6350	0.0000	0.0000
13751	1.0000	0.0278
5980	0.0000	0.0000
14311	0.0000	0.0000
18271	0.0000	0.0000
4971	3.0000	0.0133
5271	0.0000	0.0000
5301	0.0000	0.0000
6691	0.0000	0.0000
2020	0.0000	0.0000
6791	1.0000	0.0204
10601	1.0000	0.0132
10721	1.0000	0.0149
10751	1.0000	0.0385
12741	3.0000	0.0194
12861	4.0000	0.0175
16051	4.0000	0.0175
17021	1.0000	0.0303
17051	0.0000	0.0000
17071	2.0000	0.0250
6860	1.0000	0.0128
7170	1.0000	0.0175
20621	0.0000	0.0000
20761	1.0000	0.0125
7740	3.0000	0.0166
20871	4.0000	0.0404
7750	1.0000	0.0085
20941	0.0000	0.0000
7760	0.0000	0.0000
20951	3.0000	0.0197
20961	0.0000	0.0000
21251	1.0000	0.0244
21261	1.0000	0.0385
21281	0.0000	0.0000
21421	0.0000	0.0000
21461	0.0000	0.0000
22111	0.0000	0.0000
1151	7.0000	0.0493
1181	0.0000	0.0000
200	0.0000	0.0000
210	0.0000	0.0000
1371	7.0000	0.0412
1381	0.0000	0.0000
280	0.0000	0.0000
520	2.0000	0.0250
1380	0.0000	0.0000
4451	1.0000	0.0085
4461	0.0000	0.0000
6431	1.0000	0.0063
7671	0.0000	0.0000
7691	1.0000	0.0185
8001	1.0000	0.0119
8241	1.0000	0.0046
2670	0.0000	0.0000
2700	0.0000	0.0000
8311	2.0000	0.0149
2680	0.0000	0.0000
2710	0.0000	0.0000
8321	0.0000	0.0000
2690	0.0000	0.0000
8471	4.0000	0.0357
8501	0.0000	0.0000
8661	0.0000	0.0000
2820	0.0000	0.0000
3160	0.0000	0.0000
8801	3.0000	0.0259
3090	0.0000	0.0000
3100	0.0000	0.0000
3150	0.0000	0.0000
3330	0.0000	0.0000
8811	4.0000	0.0440
8911	0.0000	0.0000
9111	1.0000	0.0096
9471	7.0000	0.0330
13401	2.0000	0.0200
13461	0.0000	0.0000
13701	0.0000	0.0000
13951	0.0000	0.0000
14951	1.0000	0.0137
