ID	PERCEPTUAL PROCESSES	SEEING	HEARING	FEELING	
4991	1.7143	1.1429	0.0000	0.5714	
10631	0.0000	0.0000	0.0000	0.0000	
11001	0.0000	0.0000	0.0000	0.0000	
11011	0.9615	0.9615	0.0000	0.0000	
12021	0.0000	0.0000	0.0000	0.0000	
16061	2.0000	2.0000	0.0000	0.0000	
20851	5.1282	1.2821	1.2821	2.5641	
20861	0.9804	0.0000	0.0000	0.9804	
7790	1.8519	0.0000	1.8519	0.0000	
1171	0.0000	0.0000	0.0000	0.0000	
1291	3.7037	3.7037	0.0000	0.0000	
570	5.0000	0.0000	0.0000	5.0000	
1401	1.2346	1.2346	0.0000	0.0000	
300	0.0000	0.0000	0.0000	0.0000	
370	0.0000	0.0000	0.0000	0.0000	
390	0.0000	0.0000	0.0000	0.0000	
400	0.0000	0.0000	0.0000	0.0000	
5930	3.4483	1.7241	0.0000	1.7241	
6340	1.7857	1.7857	0.0000	0.0000	
6840	0.4831	0.4831	0.0000	0.0000	
1581	0.0000	0.0000	0.0000	0.0000	
1621	1.5152	0.7576	0.0000	0.7576	
350	0.0000	0.0000	0.0000	0.0000	
470	0.0000	0.0000	0.0000	0.0000	
730	0.6494	0.6494	0.0000	0.0000	
1761	1.4493	0.0000	0.0000	0.0000	
2081	4.0000	4.0000	0.0000	0.0000	
2211	1.7857	1.7857	0.0000	0.0000	
2651	0.0000	0.0000	0.0000	0.0000	
2911	0.0000	0.0000	0.0000	0.0000	
3161	8.3333	8.3333	0.0000	0.0000	
3241	0.0000	0.0000	0.0000	0.0000	
6880	5.5556	5.5556	0.0000	0.0000	
3341	0.8772	0.0000	0.0000	0.8772	
790	1.2658	1.2658	0.0000	0.0000	
1050	0.0000	0.0000	0.0000	0.0000	
3401	1.1111	1.1111	0.0000	0.0000	
10781	0.0000	0.0000	0.0000	0.0000	
17151	3.3898	3.3898	0.0000	0.0000	
17381	0.0000	0.0000	0.0000	0.0000	
7721	0.0000	0.0000	0.0000	0.0000	
7911	0.0000	0.0000	0.0000	0.0000	
7941	0.0000	0.0000	0.0000	0.0000	
7961	0.0000	0.0000	0.0000	0.0000	
2750	1.0417	1.0417	0.0000	0.0000	
8041	0.0000	0.0000	0.0000	0.0000	
2510	0.0000	0.0000	0.0000	0.0000	
2520	4.5455	4.5455	0.0000	0.0000	
2590	0.0000	0.0000	0.0000	0.0000	
2600	0.0000	0.0000	0.0000	0.0000	
2610	0.0000	0.0000	0.0000	0.0000	
2720	0.0000	0.0000	0.0000	0.0000	
2730	0.0000	0.0000	0.0000	0.0000	
2870	0.0000	0.0000	0.0000	0.0000	
2880	0.0000	0.0000	0.0000	0.0000	
8071	0.0000	0.0000	0.0000	0.0000	
2640	4.5455	4.5455	0.0000	0.0000	
8161	0.0000	0.0000	0.0000	0.0000	
2550	1.0753	1.0753	0.0000	0.0000	
8191	0.0000	0.0000	0.0000	0.0000	
2580	0.0000	0.0000	0.0000	0.0000	
8371	0.0000	0.0000	0.0000	0.0000	
3020	0.0000	0.0000	0.0000	0.0000	
3040	0.0000	0.0000	0.0000	0.0000	
3820	0.0000	0.0000	0.0000	0.0000	
8511	0.8850	0.0000	0.0000	0.8850	
3050	3.2258	3.2258	0.0000	0.0000	
8531	0.8547	0.8547	0.0000	0.0000	
3060	1.5152	1.5152	0.0000	0.0000	
3850	0.0000	0.0000	0.0000	0.0000	
3870	0.0000	0.0000	0.0000	0.0000	
3880	1.3986	1.3986	0.0000	0.0000	
8591	3.7037	3.7037	0.0000	0.0000	
8621	0.0000	0.0000	0.0000	0.0000	
3070	0.0000	0.0000	0.0000	0.0000	
3140	2.0619	1.0309	0.0000	0.0000	
8631	1.6807	0.8403	0.0000	0.8403	
2780	0.0000	0.0000	0.0000	0.0000	
2900	0.0000	0.0000	0.0000	0.0000	
8671	0.0000	0.0000	0.0000	0.0000	
2950	0.0000	0.0000	0.0000	0.0000	
8711	0.0000	0.0000	0.0000	0.0000	
8891	0.0000	0.0000	0.0000	0.0000	
3240	0.0000	0.0000	0.0000	0.0000	
3250	0.0000	0.0000	0.0000	0.0000	
3270	0.0000	0.0000	0.0000	0.0000	
3460	0.0000	0.0000	0.0000	0.0000	
3860	0.0000	0.0000	0.0000	0.0000	
9011	0.0000	0.0000	0.0000	0.0000	
9161	0.0000	0.0000	0.0000	0.0000	
9191	0.0000	0.0000	0.0000	0.0000	
3010	0.0000	0.0000	0.0000	0.0000	
3030	2.9412	2.9412	0.0000	0.0000	
9221	5.1282	2.5641	0.0000	2.5641	
9241	3.7037	3.7037	0.0000	0.0000	
9261	1.7544	0.8772	0.0000	0.8772	
9521	3.3058	3.3058	0.0000	0.0000	
3230	0.0000	0.0000	0.0000	0.0000	
3280	0.0000	0.0000	0.0000	0.0000	
3300	0.0000	0.0000	0.0000	0.0000	
3320	0.0000	0.0000	0.0000	0.0000	
9891	0.0000	0.0000	0.0000	0.0000	
3560	0.0000	0.0000	0.0000	0.0000	
10011	0.0000	0.0000	0.0000	0.0000	
10151	1.2500	1.2500	0.0000	0.0000	
10371	3.5714	3.5714	0.0000	0.0000	
13441	0.0000	0.0000	0.0000	0.0000	
