ID	ABSOLUTE_POSIT	RELATIVE_POSIT
4991	1.0000	1.0000
10631	1.0000	0.2500
11001	2.0000	0.5000
11011	3.0000	0.7500
12021	4.0000	1.0000
16061	1.0000	1.0000
20851	1.0000	0.3333
20861	2.0000	0.6667
7790	3.0000	1.0000
1171	1.0000	0.0323
1291	2.0000	0.0645
570	3.0000	0.0968
1401	4.0000	0.1290
300	5.0000	0.1613
370	6.0000	0.1935
390	7.0000	0.2258
400	8.0000	0.2581
5930	9.0000	0.2903
6340	10.0000	0.3226
6840	11.0000	0.3548
1581	12.0000	0.3871
1621	13.0000	0.4194
350	14.0000	0.4516
470	15.0000	0.4839
730	16.0000	0.5161
1761	17.0000	0.5484
2081	18.0000	0.5806
2211	19.0000	0.6129
2651	20.0000	0.6452
2911	21.0000	0.6774
3161	22.0000	0.7097
3241	23.0000	0.7419
6880	24.0000	0.7742
3341	25.0000	0.8065
790	26.0000	0.8387
1050	27.0000	0.8710
3401	28.0000	0.9032
10781	29.0000	0.9355
17151	30.0000	0.9677
17381	31.0000	1.0000
7721	1.0000	0.0152
7911	2.0000	0.0303
7941	3.0000	0.0455
7961	4.0000	0.0606
2750	5.0000	0.0758
8041	6.0000	0.0909
2510	7.0000	0.1061
2520	8.0000	0.1212
2590	9.0000	0.1364
2600	10.0000	0.1515
2610	11.0000	0.1667
2720	12.0000	0.1818
2730	13.0000	0.1970
2870	14.0000	0.2121
2880	15.0000	0.2273
8071	16.0000	0.2424
2640	17.0000	0.2576
8161	18.0000	0.2727
2550	19.0000	0.2879
8191	20.0000	0.3030
2580	21.0000	0.3182
8371	22.0000	0.3333
3020	23.0000	0.3485
3040	24.0000	0.3636
3820	25.0000	0.3788
8511	26.0000	0.3939
3050	27.0000	0.4091
8531	28.0000	0.4242
3060	29.0000	0.4394
3850	30.0000	0.4545
3870	31.0000	0.4697
3880	32.0000	0.4848
8591	33.0000	0.5000
8621	34.0000	0.5152
3070	35.0000	0.5303
3140	36.0000	0.5455
8631	37.0000	0.5606
2780	38.0000	0.5758
2900	39.0000	0.5909
8671	40.0000	0.6061
2950	41.0000	0.6212
8711	42.0000	0.6364
8891	43.0000	0.6515
3240	44.0000	0.6667
3250	45.0000	0.6818
3270	46.0000	0.6970
3460	47.0000	0.7121
3860	48.0000	0.7273
9011	49.0000	0.7424
9161	50.0000	0.7576
9191	51.0000	0.7727
3010	52.0000	0.7879
3030	53.0000	0.8030
9221	54.0000	0.8182
9241	55.0000	0.8333
9261	56.0000	0.8485
9521	57.0000	0.8636
3230	58.0000	0.8788
3280	59.0000	0.8939
3300	60.0000	0.9091
3320	61.0000	0.9242
9891	62.0000	0.9394
3560	63.0000	0.9545
10011	64.0000	0.9697
10151	65.0000	0.9848
10371	66.0000	1.0000
13441	1.0000	0.1250
13501	2.0000	0.2500
5430	3.0000	0.3750
6310	4.0000	0.5000
6350	5.0000	0.6250
13751	6.0000	0.7500
5980	7.0000	0.8750
14311	8.0000	1.0000
18271	1.0000	1.0000
4971	1.0000	0.1667
5271	2.0000	0.3333
5301	3.0000	0.5000
6691	4.0000	0.6667
2020	5.0000	0.8333
6791	6.0000	1.0000
10601	1.0000	0.2000
10721	2.0000	0.4000
10751	3.0000	0.6000
12741	4.0000	0.8000
12861	5.0000	1.0000
16051	1.0000	0.1667
17021	2.0000	0.3333
17051	3.0000	0.5000
17071	4.0000	0.6667
6860	5.0000	0.8333
7170	6.0000	1.0000
20621	1.0000	0.0667
20761	2.0000	0.1333
7740	3.0000	0.2000
20871	4.0000	0.2667
7750	5.0000	0.3333
20941	6.0000	0.4000
7760	7.0000	0.4667
20951	8.0000	0.5333
20961	9.0000	0.6000
21251	10.0000	0.6667
21261	11.0000	0.7333
21281	12.0000	0.8000
21421	13.0000	0.8667
21461	14.0000	0.9333
22111	15.0000	1.0000
1151	1.0000	0.0833
1181	2.0000	0.1667
200	3.0000	0.2500
210	4.0000	0.3333
1371	5.0000	0.4167
1381	6.0000	0.5000
280	7.0000	0.5833
520	8.0000	0.6667
1380	9.0000	0.7500
4451	10.0000	0.8333
4461	11.0000	0.9167
6431	12.0000	1.0000
7671	1.0000	0.0400
7691	2.0000	0.0800
8001	3.0000	0.1200
8241	4.0000	0.1600
2670	5.0000	0.2000
2700	6.0000	0.2400
8311	7.0000	0.2800
2680	8.0000	0.3200
2710	9.0000	0.3600
8321	10.0000	0.4000
2690	11.0000	0.4400
8471	12.0000	0.4800
8501	13.0000	0.5200
8661	14.0000	0.5600
2820	15.0000	0.6000
3160	16.0000	0.6400
8801	17.0000	0.6800
3090	18.0000	0.7200
3100	19.0000	0.7600
3150	20.0000	0.8000
3330	21.0000	0.8400
8811	22.0000	0.8800
8911	23.0000	0.9200
9111	24.0000	0.9600
9471	25.0000	1.0000
13401	1.0000	0.0909
13461	2.0000	0.1818
13701	3.0000	0.2727
13951	4.0000	0.3636
14951	5.0000	0.4545
6210	6.0000	0.5455
15001	7.0000	0.6364
15041	8.0000	0.7273
6250	9.0000	0.8182
15111	10.0000	0.9091
15421	11.0000	1.0000
18261	1.0000	0.5000
18331	2.0000	1.0000
4941	1.0000	1.0000
10561	1.0000	0.5000
10671	2.0000	1.0000
16021	1.0000	0.0588
16031	2.0000	0.1176
16041	3.0000	0.1765
16071	4.0000	0.2353
16091	5.0000	0.2941
16121	6.0000	0.3529
16181	7.0000	0.4118
16251	8.0000	0.4706
16311	9.0000	0.5294
16341	10.0000	0.5882
16441	11.0000	0.6471
16491	12.0000	0.7059
16501	13.0000	0.7647
16511	14.0000	0.8235
16541	15.0000	0.8824
16591	16.0000	0.9412
16831	17.0000	1.0000
20591	1.0000	0.1250
20681	2.0000	0.2500
7770	3.0000	0.3750
20801	4.0000	0.5000
20881	5.0000	0.6250
20891	6.0000	0.7500
21001	7.0000	0.8750
7800	8.0000	1.0000
1141	1.0000	0.5000
4531	2.0000	1.0000
7571	1.0000	0.1429
7651	2.0000	0.2857
2740	3.0000	0.4286
8421	4.0000	0.5714
8431	5.0000	0.7143
8441	6.0000	0.8571
10041	7.0000	1.0000
13381	1.0000	0.3333
13421	2.0000	0.6667
5400	3.0000	1.0000
18251	1.0000	0.2500
18341	2.0000	0.5000
18401	3.0000	0.7500
18411	4.0000	1.0000
4921	1.0000	0.1250
5041	2.0000	0.2500
1480	3.0000	0.3750
5131	4.0000	0.5000
5311	5.0000	0.6250
5341	6.0000	0.7500
6501	7.0000	0.8750
6551	8.0000	1.0000
10541	1.0000	0.0667
10551	2.0000	0.1333
10931	3.0000	0.2000
11021	4.0000	0.2667
4090	5.0000	0.3333
11501	6.0000	0.4000
11521	7.0000	0.4667
