ID	POST
4991	1
10631	1
11001	1
11011	1
12021	1
16061	1
20851	1
20861	1
7790	0
1171	1
1291	1
570	0
1401	1
300	0
370	0
390	0
400	0
5930	0
6340	0
6840	0
1581	1
1621	1
350	0
470	0
730	0
1761	1
2081	1
2211	1
2651	1
2911	1
3161	1
3241	1
6880	0
3341	1
790	0
1050	0
3401	1
10781	1
17151	1
17381	1
7721	1
7911	1
7941	1
7961	1
2750	0
8041	1
2510	0
2520	0
2590	0
2600	0
2610	0
2720	0
2730	0
2870	0
2880	0
8071	1
2640	0
8161	1
2550	0
8191	1
2580	0
8371	1
3020	0
3040	0
3820	0
8511	1
3050	0
8531	1
3060	0
3850	0
3870	0
3880	0
8591	1
8621	1
3070	0
3140	0
8631	1
2780	0
2900	0
8671	1
2950	0
8711	1
8891	1
3240	0
3250	0
3270	0
3460	0
3860	0
9011	1
9161	1
9191	1
3010	0
3030	0
9221	1
9241	1
9261	1
9521	1
3230	0
3280	0
3300	0
3320	0
9891	1
3560	0
10011	1
10151	1
10371	1
13441	1
13501	1
5430	0
6310	0
6350	0
13751	1
5980	0
14311	1
18271	1
4971	1
5271	1
5301	1
6691	1
2020	0
6791	1
10601	1
10721	1
10751	1
12741	1
12861	1
16051	1
17021	1
17051	1
17071	1
6860	0
7170	0
20621	1
20761	1
7740	0
20871	1
7750	0
20941	1
7760	0
20951	1
20961	1
21251	1
21261	1
21281	1
21421	1
21461	1
22111	1
1151	1
1181	1
200	0
210	0
1371	1
1381	1
280	0
520	0
1380	0
4451	1
4461	1
6431	1
7671	1
7691	1
8001	1
8241	1
2670	0
2700	0
8311	1
2680	0
2710	0
8321	1
2690	0
8471	1
8501	1
8661	1
2820	0
3160	0
8801	1
3090	0
3100	0
3150	0
3330	0
8811	1
8911	1
9111	1
9471	1
13401	1
13461	1
13701	1
13951	1
14951	1
6210	0
15001	1
15041	1
6250	0
15111	1
15421	1
18261	1
18331	1
4941	1
10561	1
10671	1
16021	1
16031	1
16041	1
16071	1
16091	1
16121	1
16181	1
16251	1
16311	1
16341	1
16441	1
16491	1
16501	1
16511	1
16541	1
16591	1
16831	1
20591	1
20681	1
7770	0
20801	1
20881	1
20891	1
21001	1
7800	0
1141	1
4531	1
7571	1
7651	1
2740	0
8421	1
8431	1
8441	1
10041	1
13381	1
13421	1
5400	0
18251	1
18341	1
18401	1
18411	1
4921	1
5041	1
1480	0
5131	1
5311	1
5341	1
6501	1
6551	1
10541	1
10551	1
10931	1
11021	1
4090	0
11501	1
11521	1
4110	0
4650	0
4720	0
11781	1
11961	1
12331	1
4730	0
12441	1
15931	1
18971	1
7940	0
19011	1
19111	1
19151	1
19181	1
7580	0
19191	1
19401	1
19441	1
19511	1
19571	1
19601	1
19611	1
19631	1
19641	1
19661	1
19691	1
19821	1
19851	1
19891	1
7510	0
19921	1
19941	1
7860	0
20061	1
20081	1
20121	1
20131	1
20151	1
20181	1
20191	1
20211	1
20221	1
20231	1
20251	1
20261	1
20281	1
20301	1
20311	1
20321	1
20331	1
20361	1
20371	1
20401	1
20461	1
20471	1
20651	1
20661	1
20671	1
