ID	QMARKS	PERIOD	APOSTRO	COLON	QUOTE	QMARK	SEMIC	COMMA	EXCLAM	PARENTH	ALLPCT	DASH	OTHERP	
4991	0.0000	6.2857	0.0000	5.7143	4.5714	0.0000	0.0000	6.8571	0.5714	2.2857	32.5714	1.1429	5.1429	
10631	14.2857	7.2464	2.8986	0.0000	0.0000	1.4493	0.0000	5.7971	2.8986	2.8986	33.3333	0.0000	10.1449	
11001	0.0000	6.1538	4.6154	3.0769	0.0000	0.0000	0.0000	7.6923	0.0000	0.0000	26.1538	0.0000	4.6154	
11011	0.0000	2.4038	5.2885	0.4808	0.9615	0.0000	0.4808	4.8077	0.0000	2.8846	25.9615	1.9231	6.7308	
12021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.1818	9.0909	0.0000	27.2727	0.0000	0.0000	
16061	20.0000	6.0000	0.0000	8.0000	0.0000	1.0000	0.0000	6.0000	0.0000	2.0000	27.0000	2.0000	2.0000	
20851	16.6667	6.4103	2.5641	0.0000	0.0000	1.2821	0.0000	2.5641	0.0000	0.0000	12.8205	0.0000	0.0000	
20861	0.0000	4.9020	3.9216	0.0000	0.0000	0.0000	0.0000	5.8824	1.9608	0.9804	25.4902	1.9608	5.8824	
7790	0.0000	3.7037	0.0000	3.7037	0.0000	0.0000	0.0000	0.0000	0.0000	1.8519	35.1852	14.8148	11.1111	
1171	0.0000	6.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.2500	0.0000	0.0000	
1291	0.0000	3.7037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.7037	0.0000	7.4074	0.0000	0.0000	
570	0.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	0.0000	0.0000	
1401	0.0000	2.4691	3.7037	0.0000	0.0000	0.0000	0.0000	1.2346	0.0000	0.0000	7.4074	0.0000	0.0000	
300	0.0000	8.5106	0.0000	0.0000	0.0000	0.0000	0.0000	2.1277	0.0000	0.0000	10.6383	0.0000	0.0000	
370	0.0000	5.1471	0.0000	0.0000	0.0000	0.0000	0.0000	2.9412	0.0000	0.0000	11.0294	0.0000	2.9412	
390	0.0000	8.5890	3.0675	0.6135	4.9080	0.0000	0.0000	5.5215	0.0000	0.0000	30.6748	4.2945	3.6810	
400	0.0000	8.0000	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.0000	0.0000	8.0000	
5930	0.0000	5.1724	0.0000	0.0000	0.0000	0.0000	0.0000	1.7241	0.0000	0.0000	6.8966	0.0000	0.0000	
6340	0.0000	3.5714	1.7857	0.0000	0.0000	0.0000	0.0000	1.7857	0.0000	0.0000	7.1429	0.0000	0.0000	
6840	7.6923	7.7295	0.0000	0.4831	0.0000	0.4831	0.0000	1.4493	0.0000	0.4831	24.1546	5.7971	7.7295	
1581	100.0000	0.0000	10.0000	0.0000	0.0000	10.0000	10.0000	0.0000	0.0000	0.0000	30.0000	0.0000	0.0000	
1621	0.0000	6.0606	0.0000	2.2727	1.5152	0.0000	1.5152	8.3333	0.0000	2.2727	27.2727	0.0000	5.3030	
350	0.0000	3.5714	3.5714	0.0000	0.0000	0.0000	0.0000	3.5714	0.0000	0.0000	14.2857	0.0000	3.5714	
470	0.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	0.0000	0.0000	20.0000	0.0000	10.0000	
730	0.0000	12.3377	0.0000	0.6494	0.0000	0.0000	0.0000	11.0390	0.0000	3.2468	38.9610	1.9481	9.7403	
1761	0.0000	5.7971	2.8986	0.0000	0.0000	0.0000	0.0000	10.1449	0.0000	0.0000	23.1884	0.0000	4.3478	
2081	0.0000	26.0000	0.0000	6.0000	0.0000	0.0000	0.0000	2.0000	0.0000	2.0000	80.0000	4.0000	40.0000	
2211	0.0000	12.5000	7.1429	1.7857	0.0000	0.0000	0.0000	3.5714	1.7857	0.0000	41.0714	1.7857	12.5000	
2651	0.0000	10.4167	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.5833	0.0000	4.1667	
2911	0.0000	6.6667	6.6667	0.0000	0.0000	0.0000	0.0000	6.6667	0.0000	0.0000	26.6667	0.0000	6.6667	
3161	0.0000	8.3333	8.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.6667	0.0000	0.0000	
3241	0.0000	11.1111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.6667	0.0000	5.5556	
6880	0.0000	27.7778	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.5556	0.0000	44.4444	0.0000	11.1111	
3341	0.0000	6.1404	2.6316	0.0000	0.0000	0.0000	0.0000	7.0175	0.0000	0.0000	24.5614	0.0000	8.7719	
790	0.0000	3.7975	1.2658	0.0000	0.0000	0.0000	0.0000	2.5316	0.0000	0.0000	7.5949	0.0000	0.0000	
1050	0.0000	9.6774	3.2258	0.0000	0.0000	0.0000	0.0000	9.6774	0.0000	0.0000	25.8065	0.0000	3.2258	
