ID	ABSOLUTE_POS	RELATIVE_POS	ABSOLUTE_NEG	RELATIVE_NEG
4991	3.0000	0.0129	3.0000	0.0129
10631	4.0000	0.0444	4.0000	0.0444
11001	5.0000	0.0667	5.0000	0.0667
11011	8.0000	0.0320	8.0000	0.0320
12021	1.0000	0.0714	1.0000	0.0714
16061	2.0000	0.0164	2.0000	0.0164
20851	2.0000	0.0235	2.0000	0.0235
20861	2.0000	0.0165	2.0000	0.0165
7790	4.0000	0.0223	4.0000	0.0223
1171	0.0000	0.0000	0.0000	0.0000
1291	2.0000	0.0714	2.0000	0.0714
570	3.0000	0.0625	3.0000	0.0625
1401	1.0000	0.0120	1.0000	0.0120
300	2.0000	0.0150	2.0000	0.0150
370	9.0000	0.0319	9.0000	0.0319
390	15.0000	0.0316	15.0000	0.0316
400	15.0000	0.0284	15.0000	0.0284
5930	18.0000	0.0306	18.0000	0.0306
6340	20.0000	0.0309	20.0000	0.0309
6840	30.0000	0.0342	30.0000	0.0342
1581	0.0000	0.0000	0.0000	0.0000
1621	2.0000	0.0123	2.0000	0.0123
350	3.0000	0.0156	3.0000	0.0156
470	3.0000	0.0141	3.0000	0.0141
730	7.0000	0.0172	7.0000	0.0172
1761	1.0000	0.0122	1.0000	0.0122
2081	0.0000	0.0000	0.0000	0.0000
2211	5.0000	0.0781	5.0000	0.0781
2651	2.0000	0.0385	2.0000	0.0385
2911	0.0000	0.0000	0.0000	0.0000
3161	0.0000	0.0000	0.0000	0.0000
3241	0.0000	0.0000	0.0000	0.0000
6880	2.0000	0.0455	2.0000	0.0455
3341	4.0000	0.0299	4.0000	0.0299
790	5.0000	0.0230	5.0000	0.0230
1050	5.0000	0.0198	5.0000	0.0198
3401	1.0000	0.0102	1.0000	0.0102
10781	0.0000	0.0000	0.0000	0.0000
17151	5.0000	0.0806	5.0000	0.0806
17381	1.0000	0.0204	1.0000	0.0204
7721	1.0000	0.0090	1.0000	0.0090
7911	1.0000	0.0455	1.0000	0.0455
7941	0.0000	0.0000	0.0000	0.0000
7961	0.0000	0.0000	0.0000	0.0000
2750	3.0000	0.0204	3.0000	0.0204
8041	2.0000	0.0192	2.0000	0.0192
2510	3.0000	0.0226	3.0000	0.0226
2520	4.0000	0.0255	4.0000	0.0255
2590	4.0000	0.0193	4.0000	0.0193
2600	4.0000	0.0191	4.0000	0.0191
2610	4.0000	0.0187	4.0000	0.0187
2720	4.0000	0.0135	4.0000	0.0135
2730	4.0000	0.0103	4.0000	0.0103
2870	5.0000	0.0108	5.0000	0.0108
2880	5.0000	0.0104	5.0000	0.0104
8071	1.0000	0.0111	1.0000	0.0111
2640	1.0000	0.0071	1.0000	0.0071
8161	0.0000	0.0000	0.0000	0.0000
2550	1.0000	0.0053	1.0000	0.0053
8191	1.0000	0.0278	1.0000	0.0278
2580	4.0000	0.0597	4.0000	0.0597
8371	3.0000	0.0288	3.0000	0.0288
3020	6.0000	0.0382	6.0000	0.0382
3040	9.0000	0.0484	9.0000	0.0484
3820	10.0000	0.0455	10.0000	0.0455
8511	1.0000	0.0081	1.0000	0.0081
3050	1.0000	0.0063	1.0000	0.0063
8531	1.0000	0.0079	1.0000	0.0079
3060	4.0000	0.0202	4.0000	0.0202
3850	9.0000	0.0262	9.0000	0.0262
3870	10.0000	0.0281	10.0000	0.0281
3880	12.0000	0.0227	12.0000	0.0227
8591	2.0000	0.0625	2.0000	0.0625
8621	1.0000	0.0294	1.0000	0.0294
3070	2.0000	0.0267	2.0000	0.0267
3140	4.0000	0.0197	4.0000	0.0197
8631	6.0000	0.0441	6.0000	0.0441
2780	7.0000	0.0323	7.0000	0.0323
2900	8.0000	0.0340	8.0000	0.0340
8671	2.0000	0.0260	2.0000	0.0260
2950	5.0000	0.0316	5.0000	0.0316
8711	1.0000	0.0312	1.0000	0.0312
8891	2.0000	0.0417	2.0000	0.0417
3240	2.0000	0.0323	2.0000	0.0323
3250	2.0000	0.0270	2.0000	0.0270
3270	2.0000	0.0169	2.0000	0.0169
3460	3.0000	0.0244	3.0000	0.0244
3860	3.0000	0.0224	3.0000	0.0224
9011	1.0000	0.0476	1.0000	0.0476
9161	1.0000	0.2500	1.0000	0.2500
