ID	DIC	FILLERS	
4991	74.8571	0.0000	
10631	79.7101	0.0000	
11001	75.3846	0.0000	
11011	78.3654	0.0000	
12021	54.5455	0.0000	
16061	67.0000	0.0000	
20851	84.6154	0.0000	
20861	81.3725	0.0000	
7790	81.4815	0.0000	
1171	81.2500	0.0000	
1291	92.5926	0.0000	
570	80.0000	0.0000	
1401	80.2469	0.0000	
300	85.1064	0.0000	
370	87.5000	0.0000	
390	68.0982	0.0000	
400	86.0000	0.0000	
5930	87.9310	0.0000	
6340	83.9286	0.0000	
6840	79.2271	0.0000	
1581	70.0000	0.0000	
1621	56.8182	0.0000	
350	71.4286	0.0000	
470	80.0000	0.0000	
730	58.4416	0.0000	
1761	73.9130	0.0000	
2081	42.0000	0.0000	
2211	69.6429	0.0000	
2651	83.3333	0.0000	
2911	73.3333	0.0000	
3161	83.3333	0.0000	
3241	77.7778	0.0000	
6880	72.2222	0.0000	
3341	85.9649	0.0000	
790	89.8734	0.0000	
1050	87.0968	0.0000	
3401	80.0000	0.0000	
10781	57.1429	0.0000	
17151	84.7458	0.0000	
17381	66.6667	0.0000	
7721	87.7551	0.0000	
7911	90.4762	0.0000	
7941	60.0000	0.0000	
7961	85.2941	0.0000	
2750	85.4167	0.0000	
8041	75.8242	0.0000	
2510	87.5000	0.0000	
2520	72.7273	0.0000	
2590	72.5000	0.0000	
2600	50.0000	0.0000	
2610	50.0000	0.0000	
2720	78.0822	0.0000	
2730	85.1351	0.0000	
2870	73.8462	0.0000	
2880	72.2222	0.0000	
8071	84.2105	0.0000	
2640	90.9091	0.0000	
8161	89.0411	0.0000	
2550	84.9462	0.0000	
8191	93.5484	0.0000	
2580	92.5926	0.0000	
8371	82.6087	0.0000	
3020	91.6667	0.0000	
3040	84.0000	0.0000	
3820	81.2500	0.0000	
8511	86.7257	0.0000	
3050	70.9677	0.0000	
8531	79.4872	0.0000	
3060	75.7576	0.0000	
3850	74.5902	0.0000	
3870	88.8889	0.0000	
3880	79.7203	0.0000	
8591	74.0741	0.0000	
8621	72.4138	0.0000	
3070	81.8182	0.0000	
3140	70.1031	0.0000	
8631	82.3529	0.0000	
2780	88.2353	0.0000	
2900	76.9231	0.0000	
8671	84.5070	0.0000	
2950	90.0000	0.0000	
8711	93.3333	0.0000	
8891	80.4878	0.0000	
3240	60.0000	0.0000	
3250	72.7273	0.0000	
3270	82.0513	0.0000	
3460	60.0000	0.0000	
3860	70.0000	0.0000	
9011	93.3333	0.0000	
9161	66.6667	0.0000	
9191	79.2453	0.0000	
3010	92.5000	0.0000	
3030	79.4118	0.0000	
9221	89.7436	0.0000	
9241	74.0741	0.0000	
9261	78.0702	0.0000	
9521	66.9421	0.0000	
3230	84.6154	0.0000	
3280	75.0000	0.0000	
3300	84.0000	0.0000	
3320	85.7143	0.0000	
9891	78.9474	0.0000	
3560	71.8750	0.0000	
10011	90.0000	0.0000	
10151	77.5000	0.0000	
10371	89.2857	0.0000	
13441	76.5625	0.0000	
13501	92.8571	0.0000	
5430	56.2500	0.0000	
6310	80.0000	0.0000	
6350	56.7568	0.0000	
13751	78.7879	0.0000	
5980	69.6970	0.0000	
14311	61.7647	0.0000	
18271	25.8065	0.0000	
4971	88.8889	0.0000	
5271	82.4561	0.0000	
5301	62.5000	0.0000	
6691	82.1429	0.0000	
2020	88.8889	0.0000	
6791	90.9091	0.0000	
10601	72.0588	0.0000	
10721	58.6207	0.0000	
10751	81.8182	0.0000	
12741	70.1493	0.0000	
12861	76.9231	0.0000	
16051	71.1230	0.0000	
17021	86.6667	0.0000	
17051	100.0000	0.0000	
17071	86.1111	0.0000	
6860	76.2712	0.0000	
7170	84.6154	0.0000	
20621	67.8161	0.0000	
20761	91.8919	0.0000	
7740	83.8150	0.0000	
20871	88.3721	0.0000	
7750	83.4862	0.0000	
20941	86.1111	0.0000	
7760	92.0000	0.0000	
20951	87.4126	0.0000	
20961	82.6087	0.0000	
21251	80.5556	0.0000	
21261	86.9565	0.0000	
21281	84.0000	0.0000	
21421	88.6792	0.0000	
21461	75.0000	0.0000	
22111	75.0000	0.0000	
1151	81.9672	0.0000	
1181	67.1429	0.0000	
200	86.3636	0.0000	
210	75.0000	0.0000	
1371	76.0274	0.0000	
1381	41.1765	0.0000	
280	80.0000	0.0000	
520	80.5556	0.0000	
1380	75.0000	0.0000	
4451	63.9175	0.0000	
4461	76.0870	0.0000	
6431	80.4348	0.0000	
7671	76.7857	0.0000	
7691	76.5957	0.0000	
8001	77.6119	0.0000	
8241	79.2350	0.0000	
2670	63.6364	0.0000	
2700	40.0000	0.0000	
8311	79.8319	0.0000	
2680	73.3333	0.0000	
2710	77.2727	0.0000	
8321	71.4286	0.0000	
2690	60.0000	0.0000	
8471	83.5052	0.0000	
8501	56.0976	0.0000	
8661	70.5882	0.0000	
2820	90.9091	0.0000	
3160	75.0000	0.0000	
8801	78.0000	0.0000	
3090	50.0000	0.0000	
3100	84.1463	0.0000	
3150	85.2941	0.0000	
3330	75.0000	0.0000	
8811	64.7887	0.0000	
8911	82.1429	0.0000	
9111	81.9149	0.0000	
9471	75.6345	0.0000	
13401	92.9412	0.0000	
13461	80.0000	0.0000	
13701	77.7778	0.0000	
13951	93.1034	0.0000	
14951	76.6667	0.0000	
6210	92.8571	0.0000	
15001	80.0000	0.0000	
15041	100.0000	0.0000	
6250	100.0000	0.0000	
15111	75.0000	0.0000	
15421	80.0000	0.0000	
18261	78.0488	0.0000	
18331	55.5556	0.0000	
4941	76.0000	0.0000	
10561	62.9032	0.0000	
10671	64.7059	0.0000	
16021	62.9213	0.0000	
16031	71.4286	0.0000	
16041	0.0000	0.0000	
16071	100.0000	0.0000	
16091	100.0000	0.0000	
16121	90.0000	0.0000	
16181	50.0000	0.0000	
16251	71.4286	0.0000	
16311	76.1905	0.0000	
16341	50.0000	0.0000	
16441	81.8182	0.0000	
16491	0.0000	0.0000	
16501	50.0000	0.0000	
16511	87.5000	0.0000	
16541	72.7273	0.0000	
16591	85.7143	0.0000	
16831	100.0000	0.0000	
20591	81.0526	0.0000	
20681	86.8421	0.0000	
7770	81.1429	0.0000	
20801	89.5238	0.0000	
20881	89.6552	0.0000	
20891	77.7251	0.0000	
21001	84.9398	0.0000	
7800	84.8352	0.0000	
1141	83.3333	0.0000	
4531	83.3333	0.0000	
7571	70.7965	0.0000	
7651	80.0000	0.0000	
2740	91.3043	0.0000	
8421	88.4615	0.0000	
8431	86.9565	0.0000	
8441	83.3333	0.0000	
10041	77.7778	0.0000	
13381	70.0000	0.0000	
13421	75.4386	0.0000	
5400	66.9118	0.0000	
18251	50.5882	0.0000	
18341	75.7576	0.0000	
18401	76.4706	0.0000	
18411	62.2642	0.0000	
4921	78.9474	0.0000	
5041	85.7143	0.0000	
1480	88.2353	0.0000	
5131	85.0000	0.0000	
5311	93.3333	0.0000	
5341	80.6452	0.0000	
6501	86.6667	0.0000	
6551	100.0000	0.0000	
10541	86.4035	0.0000	
10551	82.3848	0.0000	
10931	83.8710	0.0000	
11021	68.0000	0.0000	
4090	86.4865	0.0000	
11501	84.9462	0.0000	
11521	84.6154	0.0000	
4110	79.1667	0.0000	
4650	84.9462	0.0000	
4720	86.4286	0.0000	
11781	64.4068	0.0000	
11961	81.8182	0.0000	
12331	80.0000	0.0000	
4730	71.4286	0.0000	
12441	85.7143	0.0000	
15931	93.1034	0.0000	
18971	91.6667	0.0000	
7940	93.3333	0.0000	
19011	75.0000	0.0000	
19111	94.8718	0.0000	
19151	87.7551	0.0000	
19181	66.6667	0.0000	
7580	88.8889	0.0000	
19191	84.0000	0.0000	
19401	88.2353	0.0000	
19441	86.3636	0.0000	
19511	90.3704	0.0000	
19571	85.9155	0.0000	
19601	95.2381	0.0000	
19611	87.2340	0.0000	
19631	90.0000	0.0000	
19641	93.7500	0.0000	
19661	81.6176	0.0000	
19691	85.1852	0.0000	
19821	89.4737	0.0000	
19851	100.0000	0.0000	
19891	86.8421	0.0000	
7510	64.7059	0.0000	
19921	66.6667	0.0000	
19941	86.8421	0.0000	
7860	76.1905	0.0000	
20061	91.3043	0.0000	
20081	91.3043	0.0000	
20121	83.3333	0.0000	
20131	90.0000	0.0000	
20151	76.7677	0.0000	
20181	85.7143	0.0000	
20191	75.4717	0.0000	
20211	95.2381	0.0000	
20221	90.9091	0.0000	
20231	82.6087	0.0000	
20251	67.5676	0.0000	
20261	86.9565	0.0000	
20281	87.0968	0.0000	
20301	93.3333	0.0000	
20311	90.3846	0.0000	
20321	80.0000	0.0000	
20331	91.1111	0.0000	
20361	89.1892	0.0000	
20371	91.9355	0.0000	
20401	89.4737	0.0000	
20461	85.1852	0.0000	
20471	21.8750	0.0000	
20651	87.5000	0.0000	
20661	85.0000	0.0000	
20671	83.3333	0.0000	
20831	81.0811	0.0000	
20911	94.4444	0.0000	
21011	100.0000	0.0000	
21021	86.0215	0.0000	
21031	75.6757	0.0000	
21131	78.5714	0.0000	
21141	100.0000	0.0000	
21151	85.5556	0.0000	
21161	94.5946	0.0000	
21171	85.7143	0.0000	
21181	81.8182	0.0000	
21191	75.0000	0.0000	
21211	86.6667	0.0000	
21271	85.4167	0.0000	
21291	96.8750	0.0000	
21301	91.6667	0.0000	
21351	92.3077	0.0000	
21361	77.5281	0.0000	
21401	86.9565	0.0000	
21411	79.3103	0.0000	
21501	93.5065	0.0000	
21511	81.8182	0.0000	
21521	86.6667	0.0000	
21541	96.4286	0.0000	
21581	81.7308	0.0000	
21591	91.6667	0.0000	
21601	95.6522	0.0000	
21621	77.7778	0.0000	
21651	70.4225	0.0000	
21671	82.6923	0.0000	
21681	90.3226	0.0000	
21831	76.5432	0.0000	
21901	100.0000	0.0000	
21941	85.7143	0.0000	
21991	89.1304	0.0000	
22001	90.2655	0.0000	
22011	88.0000	0.0000	
22021	93.4426	0.0000	
22031	92.4812	0.0000	
22061	86.0000	0.0000	
22071	82.3129	0.0000	
22081	82.9787	0.0000	
22101	87.8049	0.0000	
22121	88.8889	0.0000	
22131	89.8551	0.0000	
22141	87.2340	0.0000	
7950	83.3333	0.0000	
20561	90.2439	0.0000	
20841	66.6667	0.0000	
7780	76.9231	0.0000	
7880	88.8889	0.0000	
7890	80.0000	0.0000	
20901	70.0000	0.0000	
20921	65.6250	0.0000	
20931	93.7500	0.0000	
20971	79.6610	0.0000	
