ID	VOTES
4991	0
10631	2
11001	1
11011	3
12021	0
16061	0
20851	0
20861	0
7790	1
1171	5
1291	1
570	0
1401	3
300	0
370	0
390	0
400	1
5930	0
6340	0
6840	0
1581	0
1621	2
350	0
470	0
730	0
1761	0
2081	0
2211	1
2651	0
2911	0
3161	0
3241	0
6880	0
3341	7
790	0
1050	0
3401	0
10781	0
17151	0
17381	0
7721	16
7911	20
7941	-3
7961	8
2750	3
8041	5
2510	0
2520	0
2590	0
2600	0
2610	1
2720	0
2730	-3
2870	9
2880	0
8071	0
2640	13
8161	4
2550	7
8191	2
2580	17
8371	13
3020	4
3040	1
3820	0
8511	10
3050	6
8531	21
3060	7
3850	8
3870	3
3880	3
8591	2
8621	4
3070	0
3140	2
8631	1
2780	2
2900	0
8671	1
2950	0
8711	1
8891	5
3240	0
3250	0
3270	2
3460	1
3860	0
9011	2
9161	2
9191	1
3010	0
3030	0
9221	0
9241	2
9261	16
9521	1
3230	0
3280	0
3300	0
3320	0
9891	-4
3560	3
10011	0
10151	0
10371	0
13441	15
13501	2
5430	4
6310	0
6350	0
13751	2
5980	4
14311	0
18271	0
4971	0
5271	0
5301	0
6691	8
2020	1
6791	0
10601	0
10721	0
10751	0
12741	0
12861	0
16051	3
17021	0
17051	0
17071	0
6860	0
7170	0
20621	30
20761	3
7740	7
20871	2
7750	1
20941	2
7760	2
20951	1
20961	2
21251	2
21261	2
21281	2
21421	3
21461	2
22111	3
1151	2
1181	0
200	1
210	0
1371	5
1381	3
280	0
520	0
1380	0
4451	1
4461	0
6431	0
7671	4
7691	0
8001	1
8241	9
2670	1
2700	0
8311	0
2680	0
2710	0
8321	1
2690	0
8471	2
8501	0
8661	5
2820	0
3160	0
8801	0
3090	0
3100	0
3150	0
3330	0
8811	1
8911	0
9111	3
9471	1
13401	2
13461	2
13701	1
13951	1
14951	0
6210	0
15001	0
15041	0
6250	0
15111	0
15421	1
18261	1
18331	0
4941	0
10561	0
10671	0
16021	43
16031	2
16041	2
16071	2
16091	2
16121	2
16181	2
16251	2
16311	2
16341	2
16441	1
16491	1
16501	1
16511	2
16541	1
16591	1
16831	0
20591	5
20681	1
7770	0
20801	0
20881	4
20891	0
21001	0
7800	1
1141	0
4531	0
7571	17
7651	1
2740	0
8421	1
8431	2
8441	0
10041	0
13381	1
13421	1
5400	0
18251	2
18341	0
18401	0
18411	1
4921	0
5041	1
1480	0
5131	0
5311	0
5341	1
6501	1
6551	0
10541	4
10551	3
10931	0
11021	2
4090	0
11501	2
11521	5
4110	6
4650	3
